superfamily	age
Copia	0.836
Copia	0.083
Copia	0.396
Copia	0.220
Copia	0.368
Copia	0.354
Copia	0.333
Copia	0.310
Copia	0.125
Copia	0.367
Copia	0.428
Copia	0.032
Copia	0.141
Copia	0.285
Copia	0.205
Copia	0.363
Copia	0.707
Copia	0.102
Copia	0.065
Copia	0.276
Copia	0.798
Copia	0.176
Copia	0.000
Copia	0.425
Copia	0.056
Copia	0.212
Copia	0.412
Copia	0.223
Copia	0.170
Copia	0.599
Copia	0.011
Copia	0.128
Copia	0.000
Copia	0.025
Copia	0.041
Copia	0.328
Copia	0.549
Copia	0.000
Copia	0.078
Copia	0.161
Copia	0.026
Copia	0.123
Copia	0.237
Copia	0.386
Copia	0.221
Copia	0.104
Copia	0.369
Copia	0.192
Copia	0.259
Copia	0.300
Copia	0.242
Copia	0.463
Copia	0.235
Copia	0.133
Copia	0.098
Copia	0.013
Copia	0.178
Copia	0.234
Copia	0.314
Copia	0.606
Copia	0.060
Copia	0.087
Copia	0.000
Copia	0.145
Copia	0.387
Copia	0.370
Copia	0.267
Copia	0.285
Copia	0.133
Copia	0.242
Copia	0.396
Copia	0.067
Copia	0.448
Copia	0.414
Copia	0.240
Copia	0.498
Copia	0.653
Copia	0.026
Copia	0.164
Copia	0.255
Copia	0.169
Copia	0.287
Copia	0.141
Copia	0.416
Copia	0.491
Copia	0.543
Copia	0.680
Copia	0.108
Copia	0.168
Copia	0.013
Copia	0.013
Copia	0.109
Copia	0.658
Copia	0.620
Copia	0.360
Copia	0.140
Copia	0.474
Copia	0.222
Copia	0.628
Copia	0.406
Copia	0.309
Copia	0.089
Copia	0.000
Copia	0.134
Copia	0.543
Copia	0.091
Copia	0.392
Copia	0.384
Copia	0.220
Copia	0.145
Copia	0.221
Copia	0.233
Copia	0.102
Copia	0.249
Copia	0.296
Copia	0.245
Copia	0.463
Copia	0.265
Copia	0.025
Copia	0.000
Copia	0.064
Copia	0.000
Copia	0.230
Copia	0.236
Copia	0.307
Copia	0.298
Copia	0.102
Copia	0.138
Copia	0.025
Copia	0.059
Copia	0.007
Copia	0.022
Copia	0.220
Copia	0.180
Copia	0.292
Copia	0.233
Copia	0.399
Copia	0.057
Copia	0.013
Copia	0.333
Copia	0.194
Copia	0.107
Copia	0.277
Copia	0.370
Copia	0.244
Copia	0.339
Copia	0.003
Copia	0.050
Copia	0.284
Copia	0.039
Copia	0.855
Copia	0.091
Copia	0.745
Copia	0.646
Copia	0.266
Copia	0.089
Copia	0.005
Copia	0.123
Copia	0.013
Copia	0.106
Copia	0.252
Copia	0.463
Copia	0.287
Copia	0.433
Copia	0.208
Copia	0.322
Copia	0.085
Copia	0.078
Copia	0.091
Copia	0.480
Copia	0.025
Copia	0.084
Copia	0.013
Copia	0.115
Copia	0.487
Copia	0.359
Copia	0.339
Copia	0.280
Copia	0.190
Copia	0.000
Copia	0.066
Copia	0.390
Copia	0.314
Copia	0.262
Copia	0.360
Copia	0.636
Copia	0.475
Copia	0.337
Copia	0.590
Copia	0.636
Gypsy	0.500
Gypsy	0.530
Gypsy	0.008
Gypsy	0.065
Gypsy	0.107
Gypsy	0.222
Gypsy	0.000
Gypsy	0.032
Gypsy	0.310
Gypsy	0.395
Gypsy	0.409
Gypsy	0.008
Gypsy	0.313
Gypsy	0.375
Gypsy	0.390
Gypsy	0.317
Gypsy	0.247
Gypsy	0.137
Gypsy	0.644
Gypsy	0.335
Gypsy	0.000
Gypsy	0.285
Gypsy	0.086
Gypsy	0.739
Gypsy	0.436
Gypsy	0.381
Gypsy	0.306
Gypsy	0.721
Gypsy	0.192
Gypsy	0.140
Gypsy	0.408
Gypsy	0.070
Gypsy	0.020
Gypsy	0.306
Gypsy	0.005
Gypsy	0.060
Gypsy	0.100
Gypsy	0.307
Gypsy	0.088
Gypsy	0.088
Gypsy	0.128
Gypsy	0.125
Gypsy	0.604
Gypsy	0.496
Gypsy	0.663
Gypsy	0.312
Gypsy	0.259
Gypsy	0.091
Gypsy	0.079
Gypsy	0.382
Gypsy	0.030
Gypsy	0.094
Gypsy	0.371
Gypsy	0.162
Gypsy	0.323
Gypsy	0.228
Gypsy	0.113
Gypsy	0.307
Gypsy	0.151
Gypsy	0.544
Gypsy	0.572
Gypsy	0.337
Gypsy	0.420
Gypsy	0.272
Gypsy	0.287
Gypsy	0.234
Gypsy	0.078
Gypsy	0.284
Gypsy	0.020
Gypsy	0.032
Gypsy	0.362
Gypsy	0.189
Gypsy	0.453
Gypsy	0.166
Gypsy	0.049
Gypsy	0.063
Gypsy	0.000
Gypsy	0.010
Gypsy	0.040
Gypsy	0.066
Gypsy	0.147
Gypsy	0.399
Gypsy	0.525
Gypsy	0.445
Gypsy	0.235
Gypsy	0.347
Gypsy	0.604
Gypsy	0.531
Gypsy	0.348
Gypsy	0.230
Gypsy	0.093
Gypsy	0.232
Gypsy	0.158
Gypsy	0.215
Gypsy	0.548
Gypsy	0.220
Gypsy	0.331
Gypsy	0.478
Gypsy	0.376
Gypsy	0.139
Gypsy	0.491
Gypsy	0.138
Gypsy	0.372
Gypsy	0.371
Gypsy	0.706
Gypsy	0.463
Gypsy	0.039
Gypsy	0.270
Gypsy	0.089
Gypsy	0.101
Gypsy	0.004
Gypsy	0.035
Gypsy	0.513
Gypsy	0.443
Gypsy	0.400
Gypsy	0.175
Gypsy	0.344
Gypsy	0.562
Gypsy	0.280
Gypsy	0.584
Gypsy	0.200
Gypsy	0.067
Gypsy	0.216
Gypsy	0.024
Gypsy	0.000
Gypsy	0.059
Gypsy	0.078
Gypsy	0.072
Gypsy	0.120
Gypsy	0.533
Gypsy	0.300
Gypsy	0.376
Gypsy	0.339
Gypsy	0.298
Gypsy	0.494
Gypsy	0.032
Gypsy	0.249
Gypsy	0.158
Gypsy	0.246
Gypsy	0.332
Gypsy	0.529
Gypsy	0.079
Gypsy	0.210
Gypsy	0.084
Gypsy	0.000
Gypsy	0.123
Gypsy	0.236
Gypsy	0.166
Gypsy	0.596
Gypsy	0.045
Gypsy	0.378
Gypsy	0.228
Gypsy	0.267
Gypsy	0.467
Gypsy	0.221
Gypsy	0.506
Gypsy	0.376
Gypsy	0.000
Gypsy	0.121
Gypsy	0.608
Gypsy	0.402
Gypsy	0.291
Gypsy	0.584
Gypsy	0.543
Gypsy	0.448
Gypsy	0.264
Gypsy	0.431
Gypsy	0.502
Gypsy	0.371
Gypsy	0.211
Gypsy	0.021
Gypsy	0.434
Gypsy	0.629
Gypsy	0.392
Gypsy	0.234
Gypsy	0.000
Gypsy	0.343
Gypsy	0.089
Gypsy	0.013
Gypsy	0.130
Gypsy	0.308
Gypsy	0.530
Gypsy	0.692
Gypsy	0.031
Gypsy	0.610
Gypsy	0.227
Gypsy	1.064
Gypsy	0.306
Gypsy	0.010
Gypsy	0.030
Gypsy	0.040
Gypsy	0.008
Gypsy	0.648
Gypsy	0.062
Gypsy	0.311
Gypsy	0.535
Gypsy	0.349
Gypsy	0.117
Gypsy	0.342
Gypsy	0.436
Gypsy	0.540
Gypsy	0.401
Gypsy	0.531
Gypsy	0.102
Gypsy	0.004
Gypsy	0.384
Gypsy	0.344
Gypsy	0.431
Gypsy	0.153
Gypsy	0.221
Gypsy	0.327
Gypsy	0.393
Gypsy	0.064
Gypsy	0.394
Gypsy	0.331
Gypsy	0.297
Gypsy	0.035
Gypsy	0.035
Gypsy	0.186
Gypsy	0.214
Gypsy	0.010
Gypsy	0.517
Gypsy	0.121
Gypsy	0.066
Gypsy	0.356
Gypsy	0.031
Gypsy	0.169
Gypsy	0.147
Gypsy	0.270
Gypsy	0.393
Gypsy	0.399
Gypsy	0.293
