		Million years bins:
Rclass	Rfam	[0;0.3[	[0.3;0.6[	[0.6;0.9[	[0.9;1.2[	[1.2;1.5[	[1.5;1.8[	[1.8;2.1[	[2.1;2.4[	[2.4;2.7[	[2.7;3[	[3;3.3[	[3.3;3.6[	[3.6;3.9[	[3.9;4.2[	[4.2;4.5[	[4.5;4.8[	[4.8;5.1[	[5.1;5.4[	[5.4;5.7[	[5.7;6[	[6;6.3[	[6.3;6.6[	[6.6;6.9[	[6.9;7.2[	[7.2;7.5[	[7.5;7.8[	[7.8;8.1[	[8.1;8.4[	[8.4;8.7[	[8.7;9[	[9;9.3[	[9.3;9.6[	[9.6;9.9[	[9.9;10.2[	[10.2;10.5[	[10.5;10.8[	[10.8;11.1[	[11.1;11.4[	[11.4;11.7[	[11.7;12[	[12;12.3[	[12.3;12.6[	[12.6;12.9[	[12.9;13.2[	[13.2;13.5[	[13.5;13.8[	[13.8;14.1[	[14.1;14.4[	[14.4;14.7[	[14.7;15[	[15;15.3[	[15.3;15.6[	[15.6;15.9[	[15.9;16.2[	[16.2;16.5[	[16.5;16.8[	[16.8;17.1[	[17.1;17.4[	[17.4;17.7[	[17.7;18[	[18;18.3[	[18.3;18.6[	[18.6;18.9[	[18.9;19.2[	[19.2;19.5[	[19.5;19.8[	[19.8;20.1[	[20.1;20.4[	[20.4;20.7[	[20.7;21[	[21;21.3[	[21.3;21.6[	[21.6;21.9[	[21.9;22.2[	[22.2;22.5[	[22.5;22.8[	[22.8;23.1[	[23.1;23.4[	[23.4;23.7[	[23.7;24[	[24;24.3[	[24.3;24.6[	[24.6;24.9[	[24.9;25.2[	[25.2;25.5[	[25.5;25.8[	[25.8;26.1[	[26.1;26.4[	[26.4;26.7[	[26.7;27[	[27;27.3[	[27.3;27.6[	[27.6;27.9[	[27.9;28.2[	[28.2;28.5[	[28.5;28.8[	[28.8;29.1[	[29.1;29.4[	[29.4;29.7[	[29.7;30[

pararetrovirus	pararetrovirus	0	0	18404	30376	16849	12852	19616	2796	8172	5144	23549	19621	14550	20778	18874	8523	5707	1376	2108	2016	992	1434	3184	1297	5261	1561	5972	6938	7133	7582	0	0	917	198	0	421	53	107	652	383	220	298	9	144	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MITE	DTA	5179	407	0	40	246	256	898	584	1033	1039	1532	1579	2630	5556	6230	5408	7300	5057	5447	5414	4392	2162	3020	2576	3642	4853	4950	6549	5043	3888	2645	3312	2432	3304	2002	2611	1085	686	241	467	51	157	307	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DTA	10439	2101	1171	5004	2105	4454	3344	5923	8462	12458	8554	6275	8835	5103	8995	4930	5441	4368	6968	1664	2819	3131	2852	2729	3331	2964	2499	2683	2170	1491	1380	1676	1756	1980	2023	2387	1064	1706	892	750	1668	292	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DTT	10035	2180	1369	0	0	69	92	66	1408	581	749	693	2430	964	842	4516	206	2431	1304	0	820	2072	2175	726	2422	2865	3248	8349	5308	740	5182	2999	2547	565	274	576	638	161	483	0	174	229	516	283	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MITE	DTM	11675	966	550	1247	616	582	1515	1452	2207	2440	2218	3142	4021	3468	3466	5846	9651	11940	11455	19896	19058	22736	19714	18049	21842	18730	19370	17344	18798	16532	15093	11166	15735	7764	7730	5515	3433	2860	2143	1044	379	149	308	102	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MITE	DTC	136	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	unknown	75756	28504	34021	47514	29720	53479	43107	47746	36994	39372	47645	60751	68750	53237	69652	53427	71174	76388	83550	70609	53940	55634	53395	59882	61859	64026	63114	54471	64484	65739	54751	45948	55706	52859	56158	46811	43004	45360	34689	23706	16635	16614	15729	15274	9410	8769	5086	2481	1028	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DTC	101765	2956	1671	3664	2851	4783	2637	12294	13300	18945	16951	15512	19844	21635	29114	29060	30967	30247	24977	27000	26680	27250	20016	25797	20802	20621	25333	29767	33976	33193	39703	33815	30226	21630	26675	24872	36941	37103	24694	15922	7076	5595	3785	1208	1069	1273	562	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DTM	304754	36761	58956	52304	72600	71496	69349	94358	116237	107733	91643	104319	108023	116128	115505	135995	135761	143545	179470	184105	189118	211083	247042	268697	244400	219661	207442	213727	210796	212161	196652	189513	145468	126521	103311	105999	113557	145958	109260	103539	78335	59837	55968	48457	41731	43158	20445	17195	3312	1390	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
