##Databases: KEGG PATHWAY, Gene Ontology								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Photosynthesis	KEGG PATHWAY	ath00195	17	158	2.20E-12	5.46E-10	Barthea30113|Barthea30112|Barthea30107|Barthea30123|Barthea30101|Barthea30117|Barthea30103|Barthea30102|Barthea30105|Barthea30118|Barthea30110|Barthea30109|Barthea30108|Barthea30121|Barthea30124|Barthea30125|Barthea30119	http://www.genome.jp/kegg-bin/show_pathway?ath00195/ath:ArthCp039%09red/ath:ArthCp021%09red/ath:ArthCp049%09red/ath:ArthCp006%09red/ath:ArthCp053%09red/ath:ArthCp016%09red/ath:ArthCp019%09red/ath:ArthCp009%09red/ath:ArthCp050%09red/ath:ArthCp075%09red
Tryptophan metabolism	KEGG PATHWAY	ath00380	6	120	1.59E-03	4.01E-02	Barthea29164|Barthea29170|Barthea29188|Barthea29169|Barthea29168|Barthea29166	http://www.genome.jp/kegg-bin/show_pathway?ath00380/ath:AT1G21430%09red/ath:AT1G44170%09red
Proteasome	KEGG PATHWAY	ath03050	5	127	0.0100127767603	0.110422594413	Barthea37782|Barthea22906|Barthea12188|Barthea22904|Barthea22905	http://www.genome.jp/kegg-bin/show_pathway?ath03050/ath:AT5G40580%09red/ath:AT3G22110%09red/ath:AT5G09900%09red
Plant-pathogen interaction	KEGG PATHWAY	ath04626	9	360	0.0113906912383	0.123873767216	Barthea39514|Barthea25056|Barthea22861|Barthea20969|Barthea25084|Barthea20993|Barthea37789|Barthea20971|Barthea20970	http://www.genome.jp/kegg-bin/show_pathway?ath04626/ath:AT5G13160%09red/ath:AT3G50770%09red/ath:AT1G80460%09red/ath:AT3G21220%09red/ath:AT3G07040%09red/ath:AT1G19780%09red
Other types of O-glycan biosynthesis	KEGG PATHWAY	ath00514	3	45	0.0117520983526	0.125753032626	Barthea22876|Barthea41236|Barthea22875	http://www.genome.jp/kegg-bin/show_pathway?ath00514/ath:AT3G04240%09red/ath:AT3G01720%09red
Valine, leucine and isoleucine degradation	KEGG PATHWAY	ath00280	4	113	0.0286407353213	0.244778586666	Barthea29181|Barthea29182|Barthea41244|Barthea29164	http://www.genome.jp/kegg-bin/show_pathway?ath00280/ath:AT1G44170%09red/ath:AT2G33150%09red/ath:AT5G09300%09red
Vitamin B6 metabolism	KEGG PATHWAY	ath00750	2	26	0.0307752367204	0.256351173958	Barthea41251|Barthea41252	http://www.genome.jp/kegg-bin/show_pathway?ath00750/ath:AT4G29840%09red
Ribosome	KEGG PATHWAY	ath03010	11	576	0.0320272110288	0.263971644585	Barthea13825|Barthea22855|Barthea41254|Barthea13810|Barthea30116|Barthea30114|Barthea30115|Barthea22833|Barthea30106|Barthea30122|Barthea30099	http://www.genome.jp/kegg-bin/show_pathway?ath03010/ath:AT2G20450%09red/ath:ArthCp020%09red/ath:AT3G04400%09red/ath:AT2G37270%09red/ath:AT3G62870%09red/ath:ArthCp061%09red/ath:ArthCp047%09red/ath:ArthCp085%09red/ath:AT3G01790%09red/ath:AT3G27850%09red
Glycine, serine and threonine metabolism	KEGG PATHWAY	ath00260	4	130	0.0436752095103	0.322619707987	Barthea39533|Barthea41251|Barthea12181|Barthea41252	http://www.genome.jp/kegg-bin/show_pathway?ath00260/ath:AT1G17745%09red/ath:AT4G29840%09red/ath:AT5G13280%09red
Pyrimidine metabolism	KEGG PATHWAY	ath00240	3	91	0.0657177821832	0.363362966411	Barthea25101|Barthea22838|Barthea22848	http://www.genome.jp/kegg-bin/show_pathway?ath00240/ath:AT3G27060%09red/ath:AT1G30820%09red/ath:AT5G40870%09red
