Term	Database	ID	gene_number	Background number	PValue	Qvalue	Input	Hyperlink
DNA-binding transcription factor activity	Gene Ontology	GO:0003700	175	3081	1.35231298178e-178	2.33950145849e-176	Barthea36788|Barthea00409|Barthea33945|Barthea26638|Barthea16797|Barthea28954|Barthea10781|Barthea24723|Barthea33198|Barthea34182|Barthea21473|Barthea44610|Barthea05744|Barthea41998|Barthea05591|Barthea04809|Barthea12989|Barthea20417|Barthea02671|Barthea16445|Barthea28786|Barthea09567|Barthea14794|Barthea15079|Barthea45676|Barthea21873|Barthea08446|Barthea33120|Barthea01636|Barthea34066|Barthea01234|Barthea11113|Barthea34121|Barthea18610|Barthea23001|Barthea27468|Barthea23702|Barthea43505|Barthea07554|Barthea07796|Barthea29918|Barthea33784|Barthea06097|Barthea34082|Barthea16401|Barthea26425|Barthea11684|Barthea44203|Barthea19659|Barthea23017|Barthea28390|Barthea42757|Barthea09737|Barthea41691|Barthea13820|Barthea15375|Barthea04549|Barthea15378|Barthea41283|Barthea18804|Barthea45553|Barthea11298|Barthea45090|Barthea38387|Barthea38412|Barthea17974|Barthea35386|Barthea00901|Barthea20697|Barthea46276|Barthea13129|Barthea05240|Barthea32558|Barthea06814|Barthea34395|Barthea33345|Barthea23840|Barthea43220|Barthea27506|Barthea41112|Barthea30478|Barthea34021|Barthea03394|Barthea13631|Barthea43247|Barthea04802|Barthea21537|Barthea16120|Barthea01853|Barthea05318|Barthea10747|Barthea10030|Barthea13132|Barthea20683|Barthea36624|Barthea27543|Barthea41610|Barthea43428|Barthea16568|Barthea27777|Barthea43422|Barthea32889|Barthea39137|Barthea01900|Barthea22116|Barthea13620|Barthea22052|Barthea18940|Barthea14692|Barthea32864|Barthea25567|Barthea10000|Barthea15997|Barthea03308|Barthea37279|Barthea05226|Barthea22752|Barthea00288|Barthea00666|Barthea27074|Barthea30074|Barthea22232|Barthea33161|Barthea17499|Barthea06114|Barthea43714|Barthea23180|Barthea10527|Barthea26651|Barthea28117|Barthea27301|Barthea40285|Barthea42152|Barthea07517|Barthea19853|Barthea29780|Barthea41070|Barthea06610|Barthea22191|Barthea00176|Barthea22192|Barthea23690|Barthea25579|Barthea08938|Barthea11131|Barthea26275|Barthea43898|Barthea45056|Barthea15605|Barthea42168|Barthea31004|Barthea39217|Barthea37700|Barthea42165|Barthea19842|Barthea35034|Barthea38744|Barthea39355|Barthea11543|Barthea26551|Barthea18941|Barthea27816|Barthea18773|Barthea27811|Barthea39905|Barthea26465|Barthea32595|Barthea08508|Barthea10940|Barthea32860|Barthea19057|Barthea06524|Barthea35137|Barthea35091|Barthea20428	http://amigo.geneontology.org/amigo/term/GO:0003700
transcription regulatory region sequence-specific DNA binding	Gene Ontology	GO:0000976	95	993	5.91844849365e-99	5.11945794701e-97	Barthea33945|Barthea26638|Barthea39203|Barthea28954|Barthea10781|Barthea24723|Barthea34182|Barthea21473|Barthea44610|Barthea02671|Barthea16445|Barthea28786|Barthea14794|Barthea15079|Barthea45676|Barthea21873|Barthea08446|Barthea33120|Barthea34066|Barthea01234|Barthea34121|Barthea18610|Barthea07796|Barthea29918|Barthea26425|Barthea19659|Barthea28390|Barthea42757|Barthea41691|Barthea15378|Barthea45553|Barthea41283|Barthea45090|Barthea35386|Barthea46276|Barthea13129|Barthea05240|Barthea32558|Barthea06814|Barthea34395|Barthea23840|Barthea27506|Barthea30478|Barthea03394|Barthea13631|Barthea04802|Barthea01853|Barthea05318|Barthea10747|Barthea20683|Barthea27543|Barthea41610|Barthea43428|Barthea16568|Barthea35091|Barthea43422|Barthea37279|Barthea01900|Barthea22116|Barthea35034|Barthea18940|Barthea04652|Barthea10000|Barthea32860|Barthea22752|Barthea00288|Barthea09737|Barthea22232|Barthea33161|Barthea17499|Barthea16120|Barthea36624|Barthea23180|Barthea10527|Barthea42152|Barthea29780|Barthea06610|Barthea22191|Barthea00176|Barthea22192|Barthea25579|Barthea11298|Barthea31004|Barthea39217|Barthea37700|Barthea42165|Barthea18941|Barthea38744|Barthea39355|Barthea26551|Barthea27816|Barthea18773|Barthea43898|Barthea19057|Barthea06524	http://amigo.geneontology.org/amigo/term/GO:0000976
nucleus	Gene Ontology	GO:0005634	177	15851	1.09471414628e-60	6.31285157686e-59	Barthea36788|Barthea00409|Barthea33945|Barthea26638|Barthea16797|Barthea39203|Barthea28954|Barthea10781|Barthea24723|Barthea33198|Barthea34182|Barthea21473|Barthea44610|Barthea05744|Barthea41998|Barthea05591|Barthea04809|Barthea12989|Barthea20417|Barthea02671|Barthea16445|Barthea28786|Barthea09567|Barthea14794|Barthea15079|Barthea45676|Barthea21873|Barthea08446|Barthea33120|Barthea01636|Barthea34066|Barthea01234|Barthea11113|Barthea34121|Barthea18610|Barthea23001|Barthea27468|Barthea23702|Barthea43505|Barthea07554|Barthea07796|Barthea29918|Barthea33784|Barthea06097|Barthea34082|Barthea16401|Barthea26425|Barthea11684|Barthea44203|Barthea19659|Barthea23017|Barthea28390|Barthea42757|Barthea09737|Barthea41691|Barthea13820|Barthea15375|Barthea04549|Barthea15378|Barthea41283|Barthea18804|Barthea45553|Barthea11298|Barthea45090|Barthea38387|Barthea38412|Barthea17974|Barthea35386|Barthea00901|Barthea20697|Barthea46276|Barthea13129|Barthea05240|Barthea32558|Barthea06814|Barthea34395|Barthea33345|Barthea23840|Barthea43220|Barthea27506|Barthea41112|Barthea30478|Barthea34021|Barthea03394|Barthea13631|Barthea43247|Barthea04802|Barthea21537|Barthea16120|Barthea01853|Barthea05318|Barthea10747|Barthea10030|Barthea13132|Barthea20683|Barthea36624|Barthea27543|Barthea41610|Barthea43428|Barthea16568|Barthea27777|Barthea43422|Barthea32889|Barthea39137|Barthea01900|Barthea22116|Barthea13620|Barthea22052|Barthea18940|Barthea04652|Barthea14692|Barthea32864|Barthea25567|Barthea10000|Barthea15997|Barthea03308|Barthea37279|Barthea05226|Barthea22752|Barthea00288|Barthea00666|Barthea27074|Barthea30074|Barthea22232|Barthea33161|Barthea17499|Barthea06114|Barthea43714|Barthea23180|Barthea10527|Barthea26651|Barthea28117|Barthea27301|Barthea40285|Barthea42152|Barthea07517|Barthea19853|Barthea29780|Barthea41070|Barthea06610|Barthea22191|Barthea00176|Barthea22192|Barthea23690|Barthea25579|Barthea08938|Barthea11131|Barthea26275|Barthea43898|Barthea45056|Barthea15605|Barthea42168|Barthea31004|Barthea39217|Barthea37700|Barthea42165|Barthea19842|Barthea35034|Barthea38744|Barthea39355|Barthea11543|Barthea26551|Barthea18941|Barthea27816|Barthea18773|Barthea27811|Barthea39905|Barthea26465|Barthea32595|Barthea08508|Barthea10940|Barthea32860|Barthea19057|Barthea06524|Barthea35137|Barthea35091|Barthea20428	http://amigo.geneontology.org/amigo/term/GO:0005634
cell differentiation	Gene Ontology	GO:0030154	34	184	2.05205111728e-42	8.87512108225e-41	Barthea33945|Barthea36624|Barthea04802|Barthea42152|Barthea07796|Barthea21473|Barthea05318|Barthea36788|Barthea10747|Barthea27543|Barthea01853|Barthea22191|Barthea22192|Barthea35386|Barthea35091|Barthea25579|Barthea43422|Barthea16445|Barthea37279|Barthea22116|Barthea29918|Barthea31004|Barthea39217|Barthea45553|Barthea35034|Barthea18940|Barthea18941|Barthea39355|Barthea26551|Barthea18773|Barthea08446|Barthea33120|Barthea19057|Barthea06524	http://amigo.geneontology.org/amigo/term/GO:0030154
regulation of transcription, DNA-templated	Gene Ontology	GO:0006355	77	2662	1.28793820871e-41	4.45626620212e-40	Barthea09567|Barthea28786|Barthea06114|Barthea39905|Barthea43505|Barthea00409|Barthea09737|Barthea26638|Barthea23180|Barthea10527|Barthea43247|Barthea28117|Barthea27301|Barthea21537|Barthea16120|Barthea07796|Barthea29780|Barthea44610|Barthea05744|Barthea08938|Barthea06097|Barthea05591|Barthea20683|Barthea03394|Barthea10940|Barthea15997|Barthea04549|Barthea41610|Barthea22192|Barthea43428|Barthea23690|Barthea44203|Barthea27777|Barthea15378|Barthea33784|Barthea10030|Barthea16445|Barthea42757|Barthea37279|Barthea39137|Barthea45056|Barthea15605|Barthea26651|Barthea41691|Barthea31004|Barthea37700|Barthea42165|Barthea00666|Barthea32595|Barthea33345|Barthea38387|Barthea38412|Barthea17974|Barthea45676|Barthea39355|Barthea00901|Barthea12989|Barthea03308|Barthea01636|Barthea20697|Barthea05226|Barthea14692|Barthea00288|Barthea05240|Barthea32558|Barthea06814|Barthea28390|Barthea34395|Barthea14794|Barthea41998|Barthea04809|Barthea27074|Barthea08508|Barthea13129|Barthea32889|Barthea20417|Barthea43220	http://amigo.geneontology.org/amigo/term/GO:0006355
positive regulation of transcription, DNA-templated	Gene Ontology	GO:0045893	43	597	1.22417663107e-37	3.52970928624e-36	Barthea33945|Barthea27468|Barthea43714|Barthea43505|Barthea10781|Barthea04802|Barthea40285|Barthea07517|Barthea01853|Barthea21473|Barthea36788|Barthea00409|Barthea41610|Barthea23690|Barthea16797|Barthea20417|Barthea15378|Barthea43422|Barthea26275|Barthea39137|Barthea45553|Barthea13620|Barthea29918|Barthea39217|Barthea42165|Barthea41283|Barthea18941|Barthea11543|Barthea14692|Barthea17974|Barthea15997|Barthea03308|Barthea26551|Barthea13129|Barthea18773|Barthea08446|Barthea01636|Barthea41070|Barthea33198|Barthea06524|Barthea33161|Barthea23840|Barthea27506	http://amigo.geneontology.org/amigo/term/GO:0045893
RNA polymerase II cis-regulatory region sequence-specific DNA binding	Gene Ontology	GO:0000978	32	227	1.53236843289e-36	3.78713912701e-35	Barthea06114|Barthea03394|Barthea09737|Barthea23180|Barthea10527|Barthea28117|Barthea16120|Barthea44610|Barthea06097|Barthea20683|Barthea41610|Barthea43428|Barthea14794|Barthea42757|Barthea27074|Barthea28786|Barthea15378|Barthea41691|Barthea37700|Barthea42165|Barthea38412|Barthea00901|Barthea20697|Barthea05226|Barthea13129|Barthea05240|Barthea32558|Barthea06814|Barthea34395|Barthea32595|Barthea00288|Barthea43220	http://amigo.geneontology.org/amigo/term/GO:0000978
DNA-binding transcription factor activity, RNA polymerase II-specific	Gene Ontology	GO:0000981	31	303	1.77951811129e-31	3.84820791567e-30	Barthea06114|Barthea03394|Barthea09737|Barthea23180|Barthea10527|Barthea28117|Barthea16120|Barthea44610|Barthea06097|Barthea20683|Barthea43428|Barthea14794|Barthea42757|Barthea27074|Barthea28786|Barthea15378|Barthea41691|Barthea37700|Barthea42165|Barthea38412|Barthea00901|Barthea20697|Barthea05226|Barthea13129|Barthea05240|Barthea32558|Barthea06814|Barthea34395|Barthea32595|Barthea00288|Barthea43220	http://amigo.geneontology.org/amigo/term/GO:0000981
DNA binding	Gene Ontology	GO:0003677	42	990	5.66903057006e-28	1.08971365402e-26	Barthea30478|Barthea36624|Barthea33945|Barthea28954|Barthea15079|Barthea22752|Barthea21473|Barthea05318|Barthea10747|Barthea26425|Barthea03394|Barthea27543|Barthea32860|Barthea41610|Barthea43428|Barthea16568|Barthea35091|Barthea02671|Barthea43422|Barthea01900|Barthea29918|Barthea39217|Barthea25579|Barthea45553|Barthea18941|Barthea45090|Barthea38412|Barthea38744|Barthea10000|Barthea21873|Barthea26551|Barthea42152|Barthea27816|Barthea08446|Barthea33120|Barthea34066|Barthea01234|Barthea34121|Barthea18610|Barthea11298|Barthea17499|Barthea43220	http://amigo.geneontology.org/amigo/term/GO:0003677
sequence-specific DNA binding	Gene Ontology	GO:0043565	33	991	6.1623958796e-19	9.8367713034e-18	Barthea27468|Barthea00409|Barthea26638|Barthea43505|Barthea27301|Barthea40285|Barthea33198|Barthea29780|Barthea05744|Barthea06097|Barthea05591|Barthea20683|Barthea03394|Barthea41610|Barthea43428|Barthea44203|Barthea27777|Barthea10030|Barthea26275|Barthea32889|Barthea39137|Barthea45056|Barthea04549|Barthea14692|Barthea33345|Barthea17974|Barthea45676|Barthea15997|Barthea03308|Barthea05240|Barthea01636|Barthea09737|Barthea10940	http://amigo.geneontology.org/amigo/term/GO:0043565
