##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Photosynthesis	KEGG PATHWAY	ath00195	36	158	0.000710175822159	0.182709201907	Barthea14349|Barthea30093|Barthea12717|Barthea12754|Barthea28551|Barthea28550|Barthea30101|Barthea30102|Barthea30107|Barthea30109|Barthea30108|Barthea30121|Barthea30125|Barthea30124|Barthea14356|Barthea14357|Barthea14354|Barthea14353|Barthea14350|Barthea14351|Barthea30123|Barthea07093|Barthea19969|Barthea28545|Barthea28546|Barthea28547|Barthea03976|Barthea43063|Barthea00005|Barthea00004|Barthea30117|Barthea23149|Barthea30113|Barthea30110|Barthea15032|Barthea30118	http://www.genome.jp/kegg-bin/show_pathway?ath00195/ath:ArthCp005%09red/ath:AT3G16140%09red/ath:ArthCp039%09red/ath:AT4G28660%09red/ath:ArthCp022%09red/ath:ArthCp016%09red/ath:AT4G09650%09red/ath:ArthCp007%09red/ath:AT1G15700%09red/ath:ArthCp006%09red/ath:ArthCp053%09red/ath:ArthCp017%09red/ath:ArthCp049%09red/ath:ArthCp019%09red/ath:ArthCp009%09red/ath:ArthCp050%09red/ath:ArthCp075%09red/ath:AT4G05390%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	ath00053	25	95	0.000809727390536	0.182709201907	Barthea25476|Barthea29164|Barthea11103|Barthea39896|Barthea25954|Barthea39345|Barthea21577|Barthea46323|Barthea19636|Barthea40896|Barthea21592|Barthea21610|Barthea21595|Barthea21596|Barthea08551|Barthea21585|Barthea19455|Barthea22935|Barthea10732|Barthea21587|Barthea17503|Barthea41150|Barthea21584|Barthea45144|Barthea21588	http://www.genome.jp/kegg-bin/show_pathway?ath00053/ath:AT3G27820%09red/ath:AT5G11540%09red/ath:AT5G15490%09red/ath:AT5G28840%09red/ath:AT4G36250%09red/ath:AT1G54100%09red/ath:AT1G75270%09red/ath:AT3G13390%09red/ath:AT5G16710%09red/ath:AT3G47930%09red/ath:AT4G09010%09red/ath:AT1G14520%09red/ath:AT1G63940%09red/ath:AT1G44170%09red
Linoleic acid metabolism	KEGG PATHWAY	ath00591	10	26	0.00356488994981	0.400402688734	Barthea44773|Barthea31878|Barthea42991|Barthea15330|Barthea22148|Barthea02532|Barthea36431|Barthea31703|Barthea37031|Barthea39628	http://www.genome.jp/kegg-bin/show_pathway?ath00591/ath:AT2G06925%09red/ath:AT1G67560%09red/ath:AT1G17420%09red/ath:AT3G22400%09red/ath:AT1G55020%09red/ath:AT1G72520%09red/ath:AT5G04040%09red/ath:AT3G57140%09red/ath:AT3G45140%09red
alpha-Linolenic acid metabolism	KEGG PATHWAY	ath00592	20	83	0.00592765511609	0.550748897404	Barthea13842|Barthea35038|Barthea29846|Barthea20905|Barthea08579|Barthea01813|Barthea29046|Barthea44773|Barthea35036|Barthea08738|Barthea42991|Barthea15330|Barthea21220|Barthea22148|Barthea14845|Barthea17531|Barthea31703|Barthea37081|Barthea37031|Barthea39628	http://www.genome.jp/kegg-bin/show_pathway?ath00592/ath:AT1G13280%09red/ath:AT2G33150%09red/ath:AT3G25770%09red/ath:AT2G06050%09red/ath:AT3G06860%09red/ath:AT1G67560%09red/ath:AT5G42650%09red/ath:AT1G17420%09red/ath:AT4G13010%09red/ath:AT4G19860%09red/ath:AT2G06925%09red/ath:AT1G72520%09red/ath:AT5G04040%09red/ath:AT3G57140%09red/ath:AT3G45140%09red/ath:AT2G44810%09red
Betalain biosynthesis	KEGG PATHWAY	ath00965	6	11	0.00646389780867	0.56720703271	Barthea34931|Barthea08796|Barthea08787|Barthea08793|Barthea08788|Barthea08799	http://www.genome.jp/kegg-bin/show_pathway?ath00965/ath:AT4G15093%09red/ath:AT2G20340%09red
Other types of O-glycan biosynthesis	KEGG PATHWAY	ath00514	13	45	0.00725348609766	0.602993752171	Barthea28723|Barthea22876|Barthea28725|Barthea25610|Barthea22823|Barthea41236|Barthea31662|Barthea10376|Barthea39624|Barthea13847|Barthea39318|Barthea21069|Barthea21100	http://www.genome.jp/kegg-bin/show_pathway?ath00514/ath:AT5G50420%09red/ath:AT5G13500%09red/ath:AT3G01720%09red/ath:AT2G35610%09red/ath:AT1G17270%09red/ath:AT3G04240%09red/ath:AT1G75110%09red
Plant hormone signal transduction	KEGG PATHWAY	ath04075	92	582	0.00869187973512	0.634043973194	Barthea06034|Barthea17623|Barthea04183|Barthea17354|Barthea25056|Barthea35514|Barthea13170|Barthea20798|Barthea35100|Barthea07805|Barthea24505|Barthea13866|Barthea23302|Barthea36710|Barthea26026|Barthea39605|Barthea14546|Barthea39601|Barthea28788|Barthea41335|Barthea32820|Barthea10773|Barthea11676|Barthea35119|Barthea02848|Barthea25524|Barthea39409|Barthea08707|Barthea10281|Barthea20573|Barthea40952|Barthea37805|Barthea35206|Barthea08393|Barthea36472|Barthea24303|Barthea39665|Barthea45655|Barthea10106|Barthea06082|Barthea25802|Barthea44813|Barthea08159|Barthea42844|Barthea27588|Barthea06318|Barthea09159|Barthea02129|Barthea26992|Barthea17316|Barthea26998|Barthea42706|Barthea09909|Barthea07741|Barthea29513|Barthea37586|Barthea24011|Barthea35393|Barthea36379|Barthea05491|Barthea37311|Barthea33837|Barthea34135|Barthea27000|Barthea02885|Barthea12194|Barthea10003|Barthea19275|Barthea40693|Barthea42752|Barthea20796|Barthea41057|Barthea25474|Barthea10529|Barthea17441|Barthea40673|Barthea17440|Barthea14028|Barthea09729|Barthea07618|Barthea01360|Barthea29150|Barthea40607|Barthea41558|Barthea14031|Barthea29135|Barthea34192|Barthea42809|Barthea25043|Barthea06917|Barthea22744|Barthea34510	http://www.genome.jp/kegg-bin/show_pathway?ath04075/ath:AT2G14960%09red/ath:AT4G17870%09red/ath:AT1G32640%09red/ath:AT2G41370%09red/ath:AT5G54510%09red/ath:AT5G65670%09red/ath:AT3G21220%09red/ath:AT1G04240%09red/ath:AT2G01570%09red/ath:AT5G39340%09red/ath:AT1G66350%09red/ath:AT5G20730%09red/ath:AT1G73730%09red/ath:AT3G50500%09red/ath:AT1G03430%09red/ath:AT4G34760%09red/ath:AT1G14920%09red/ath:AT1G28130%09red/ath:AT1G74950%09red/ath:AT2G41070%09red/ath:AT5G46570%09red/ath:AT3G16857%09red/ath:AT5G10030%09red/ath:AT2G43790%09red/ath:AT3G15540%09red/ath:AT1G51950%09red/ath:AT1G67710%09red/ath:AT1G08320%09red/ath:AT4G27260%09red/ath:AT1G72770%09red/ath:AT5G45860%09red/ath:AT1G68210%09red/ath:AT5G06839%09red/ath:AT3G16500%09red/ath:AT5G47220%09red/ath:AT2G25490%09red/ath:AT1G75080%09red/ath:AT4G14550%09red/ath:AT5G05440%09red/ath:AT3G23150%09red/ath:AT3G21510%09red/ath:AT5G50760%09red/ath:AT2G14610%09red/ath:AT2G26040%09red/ath:AT4G26120%09red/ath:AT3G48100%09red/ath:AT2G33860%09red/ath:AT5G13220%09red/ath:AT5G57560%09red/ath:AT3G12250%09red/ath:AT3G63010%09red/ath:AT4G12410%09red/ath:AT3G57040%09red/ath:AT4G39400%09red/ath:AT1G75590%09red/ath:AT3G20770%09red/ath:AT4G31320%09red/ath:AT2G01830%09red/ath:AT1G50060%09red/ath:AT2G29380%09red/ath:AT5G10990%09red/ath:AT4G24210%09red/ath:AT3G56850%09red/ath:AT3G16360%09red
Isoquinoline alkaloid biosynthesis	KEGG PATHWAY	ath00950	12	43	0.0120156889933	0.730113610188	Barthea35227|Barthea35160|Barthea35015|Barthea35016|Barthea46007|Barthea07579|Barthea08796|Barthea08787|Barthea08793|Barthea08788|Barthea36437|Barthea08799	http://www.genome.jp/kegg-bin/show_pathway?ath00950/ath:AT5G11520%09red/ath:AT4G12290%09red/ath:AT4G31990%09red/ath:AT2G20340%09red/ath:AT2G30970%09red/ath:AT4G14940%09red
Stilbenoid, diarylheptanoid and gingerol biosynthesis	KEGG PATHWAY	ath00945	10	35	0.018451223486	0.766939670952	Barthea20867|Barthea30175|Barthea20870|Barthea44791|Barthea44280|Barthea44897|Barthea10166|Barthea19543|Barthea10180|Barthea33261	http://www.genome.jp/kegg-bin/show_pathway?ath00945/ath:AT2G30490%09red/ath:AT5G48930%09red/ath:AT4G26220%09red
Indole alkaloid biosynthesis	KEGG PATHWAY	ath00901	6	15	0.0195363931995	0.771443326464	Barthea11875|Barthea08796|Barthea08787|Barthea08793|Barthea08788|Barthea08799	http://www.genome.jp/kegg-bin/show_pathway?ath00901/ath:AT2G20340%09red/ath:AT1G74020%09red
