##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Photosynthesis	KEGG PATHWAY	ath00195	43	158	0.000194733181297	0.0839190546893	Barthea14349|Barthea24238|Barthea12732|Barthea30093|Barthea03231|Barthea25698|Barthea13678|Barthea34971|Barthea28551|Barthea28550|Barthea37126|Barthea30101|Barthea30103|Barthea30102|Barthea30105|Barthea30107|Barthea30123|Barthea30108|Barthea12734|Barthea30125|Barthea30124|Barthea14357|Barthea14354|Barthea14355|Barthea14353|Barthea31359|Barthea14351|Barthea30109|Barthea12455|Barthea10250|Barthea28544|Barthea28546|Barthea28547|Barthea20699|Barthea00005|Barthea00004|Barthea30117|Barthea35359|Barthea30112|Barthea30113|Barthea30110|Barthea30118|Barthea30119	http://www.genome.jp/kegg-bin/show_pathway?ath00195/ath:ArthCp005%09red/ath:ArthCp039%09red/ath:AT1G06680%09red/ath:AT1G60950%09red/ath:ArthCp015%09red/ath:ArthCp017%09red/ath:ArthCp016%09red/ath:ArthCp019%09red/ath:ArthCp050%09red/ath:ArthCp053%09red/ath:AT1G32550%09red/ath:AT5G66190%09red/ath:AT2G20260%09red/ath:ArthCp075%09red/ath:AT4G32260%09red/ath:AT1G52230%09red/ath:ArthCp021%09red/ath:ArthCp022%09red/ath:ArthCp006%09red/ath:ArthCp007%09red/ath:AT3G50820%09red/ath:ArthCp049%09red/ath:ArthCp009%09red/ath:AT1G14150%09red/ath:AT2G30570%09red
Plant hormone signal transduction	KEGG PATHWAY	ath04075	112	582	0.00163739155483	0.212333529734	Barthea16510|Barthea17354|Barthea28950|Barthea23086|Barthea07923|Barthea12485|Barthea25056|Barthea42870|Barthea39690|Barthea11817|Barthea31938|Barthea38181|Barthea07805|Barthea45976|Barthea24505|Barthea20796|Barthea16917|Barthea36710|Barthea38472|Barthea37311|Barthea39601|Barthea28788|Barthea38673|Barthea45670|Barthea29150|Barthea18182|Barthea08707|Barthea18135|Barthea25955|Barthea10281|Barthea37805|Barthea14975|Barthea33761|Barthea00646|Barthea39665|Barthea45655|Barthea25802|Barthea44544|Barthea42844|Barthea06811|Barthea42809|Barthea31849|Barthea06815|Barthea01356|Barthea46079|Barthea06318|Barthea09159|Barthea19642|Barthea26992|Barthea17316|Barthea03548|Barthea26998|Barthea42706|Barthea28678|Barthea05897|Barthea29513|Barthea39710|Barthea39406|Barthea14045|Barthea21343|Barthea36280|Barthea07964|Barthea13139|Barthea29200|Barthea02034|Barthea34136|Barthea13628|Barthea13625|Barthea34949|Barthea22744|Barthea12194|Barthea07119|Barthea00281|Barthea25387|Barthea17394|Barthea36591|Barthea33791|Barthea08303|Barthea10529|Barthea13613|Barthea23371|Barthea17441|Barthea17440|Barthea35802|Barthea07618|Barthea19185|Barthea25709|Barthea41063|Barthea04486|Barthea40607|Barthea30707|Barthea13973|Barthea29525|Barthea12379|Barthea14031|Barthea29137|Barthea14035|Barthea29135|Barthea07741|Barthea37035|Barthea07742|Barthea44621|Barthea38696|Barthea12174|Barthea25043|Barthea29336|Barthea28682|Barthea28681|Barthea41076|Barthea46286|Barthea41363|Barthea03672	http://www.genome.jp/kegg-bin/show_pathway?ath04075/ath:AT2G14960%09red/ath:AT4G17870%09red/ath:AT4G34760%09red/ath:AT2G41370%09red/ath:AT1G75080%09red/ath:AT2G25180%09red/ath:AT2G46690%09red/ath:AT3G23150%09red/ath:AT1G04240%09red/ath:AT2G45210%09red/ath:AT1G03430%09red/ath:AT2G41070%09red/ath:AT2G23170%09red/ath:AT3G50500%09red/ath:AT3G03450%09red/ath:AT4G27260%09red/ath:AT4G14550%09red/ath:AT3G62980%09red/ath:AT1G32640%09red/ath:AT1G09530%09red/ath:AT5G46570%09red/ath:AT3G16857%09red/ath:AT5G10030%09red/ath:AT2G43790%09red/ath:AT1G51950%09red/ath:AT1G67710%09red/ath:AT3G21220%09red/ath:AT5G18060%09red/ath:AT4G32280%09red/ath:AT3G20770%09red/ath:AT3G16500%09red/ath:AT3G17860%09red/ath:AT2G25490%09red/ath:AT2G01570%09red/ath:AT1G19180%09red/ath:AT3G56850%09red/ath:AT5G06839%09red/ath:AT1G64280%09red/ath:AT1G60940%09red/ath:AT5G50760%09red/ath:AT1G66340%09red/ath:AT4G33430%09red/ath:AT2G14610%09red/ath:AT5G03280%09red/ath:AT4G26120%09red/ath:AT5G67260%09red/ath:AT4G16110%09red/ath:AT5G13220%09red/ath:AT5G57560%09red/ath:AT4G34000%09red/ath:AT1G45249%09red/ath:AT3G63010%09red/ath:AT3G57040%09red/ath:AT4G39400%09red/ath:AT2G27050%09red/ath:AT5G53160%09red/ath:AT4G31320%09red/ath:AT2G38120%09red/ath:AT3G50070%09red/ath:AT1G66350%09red/ath:AT1G50060%09red/ath:AT4G09530%09red/ath:AT3G48100%09red/ath:AT3G17600%09red/ath:AT5G10990%09red/ath:AT4G24210%09red
Ribosome	KEGG PATHWAY	ath03010	111	576	0.00164501542702	0.212333529734	Barthea17626|Barthea41787|Barthea07361|Barthea06033|Barthea18918|Barthea25348|Barthea12710|Barthea22673|Barthea38839|Barthea24455|Barthea01825|Barthea11887|Barthea34981|Barthea36497|Barthea39561|Barthea28508|Barthea23098|Barthea34862|Barthea28541|Barthea00003|Barthea00002|Barthea00001|Barthea42867|Barthea00006|Barthea28548|Barthea08361|Barthea31329|Barthea41449|Barthea25733|Barthea17569|Barthea31740|Barthea04570|Barthea24337|Barthea39572|Barthea09391|Barthea31623|Barthea36380|Barthea43299|Barthea17284|Barthea43112|Barthea31858|Barthea30290|Barthea19899|Barthea35208|Barthea16374|Barthea30122|Barthea12439|Barthea12725|Barthea22647|Barthea23434|Barthea10510|Barthea45794|Barthea22481|Barthea22936|Barthea04272|Barthea40888|Barthea07466|Barthea11901|Barthea30116|Barthea30114|Barthea30115|Barthea45768|Barthea31752|Barthea16413|Barthea31367|Barthea24095|Barthea36517|Barthea29604|Barthea29271|Barthea14367|Barthea14366|Barthea14365|Barthea12751|Barthea12739|Barthea31018|Barthea30106|Barthea08656|Barthea39391|Barthea26706|Barthea14359|Barthea35033|Barthea39438|Barthea12749|Barthea24364|Barthea31573|Barthea44727|Barthea07853|Barthea10300|Barthea45274|Barthea20721|Barthea16654|Barthea41276|Barthea22168|Barthea30099|Barthea33270|Barthea19504|Barthea19466|Barthea06063|Barthea36525|Barthea25601|Barthea19326|Barthea29639|Barthea37833|Barthea45980|Barthea36577|Barthea38066|Barthea15282|Barthea15287|Barthea36744|Barthea18207|Barthea12385	http://www.genome.jp/kegg-bin/show_pathway?ath03010/ath:AT4G18100%09red/ath:AT5G41520%09red/ath:AT3G18760%09red/ath:AT5G13510%09red/ath:AT1G64510%09red/ath:AT5G39850%09red/ath:AT5G39740%09red/ath:AT2G24090%09red/ath:AT5G57290%09red/ath:AT3G61110%09red/ath:AT5G02610%09red/ath:AT1G09590%09red/ath:ArthCp047%09red/ath:AT1G74970%09red/ath:AT5G56670%09red/ath:AT1G64880%09red/ath:AT1G26910%09red/ath:AT1G15250%09red/ath:ArthCp061%09red/ath:ArthCp056%09red/ath:AT3G02560%09red/ath:AT4G29410%09red/ath:AT3G27830%09red/ath:AT3G25920%09red/ath:AT2G37270%09red/ath:AT2G37190%09red/ath:AT4G15000%09red/ath:ArthCp088%09red/ath:AT2G27530%09red/ath:AT3G27850%09red/ath:AT2G43030%09red/ath:AT1G74050%09red/ath:AT3G54210%09red/ath:AT3G44890%09red/ath:AT5G48760%09red/ath:ArthCp085%09red/ath:AT1G67430%09red/ath:AT3G25520%09red/ath:AT3G49010%09red/ath:AT1G70600%09red/ath:AT2G20450%09red/ath:ArthCp020%09red/ath:AT5G35530%09red/ath:ArthCp024%09red/ath:AT1G61580%09red/ath:AT4G36130%09red/ath:AT4G36420%09red/ath:AT5G27700%09red/ath:AT2G34480%09red/ath:AT5G64140%09red/ath:AT4G39200%09red/ath:AT5G64670%09red/ath:AT2G36620%09red/ath:ArthCp044%09red/ath:AT5G28060%09red/ath:AT5G02960%09red/ath:AT3G49910%09red/ath:AT5G15220%09red/ath:AT1G07070%09red/ath:AT4G35490%09red/ath:AT4G00100%09red/ath:AT5G65220%09red/ath:AT5G67510%09red/ath:AT2G47110%09red/ath:AT1G26740%09red/ath:AT5G23740%09red/ath:AT1G26880%09red/ath:ArthCp059%09red/ath:AT3G47370%09red/ath:AT3G04770%09red/ath:AT1G36240%09red/ath:AT5G61170%09red/ath:AT5G24510%09red
Tryptophan metabolism	KEGG PATHWAY	ath00380	31	120	0.00277386287996	0.25858566181	Barthea43737|Barthea29164|Barthea29166|Barthea29169|Barthea29168|Barthea35174|Barthea22576|Barthea22572|Barthea29188|Barthea19447|Barthea41081|Barthea08796|Barthea08793|Barthea14097|Barthea41179|Barthea06273|Barthea08799|Barthea29170|Barthea07762|Barthea08806|Barthea12314|Barthea05447|Barthea13740|Barthea24101|Barthea37857|Barthea46323|Barthea40961|Barthea25586|Barthea08787|Barthea13876|Barthea41617	http://www.genome.jp/kegg-bin/show_pathway?ath00380/ath:AT5G11320%09red/ath:AT5G25620%09red/ath:AT4G16210%09red/ath:AT1G04610%09red/ath:AT4G36250%09red/ath:AT1G21430%09red/ath:AT4G28720%09red/ath:AT1G54100%09red/ath:AT1G23800%09red/ath:AT2G20340%09red/ath:AT4G34880%09red/ath:AT1G11610%09red/ath:AT1G08980%09red/ath:AT3G43600%09red/ath:AT1G70560%09red/ath:AT1G44170%09red
Phenylpropanoid biosynthesis	KEGG PATHWAY	ath00940	63	306	0.00445112252879	0.343789899149	Barthea22274|Barthea37048|Barthea12111|Barthea20870|Barthea23161|Barthea30175|Barthea24943|Barthea37164|Barthea42903|Barthea15618|Barthea39466|Barthea22753|Barthea41613|Barthea30418|Barthea32680|Barthea11857|Barthea40958|Barthea11855|Barthea21166|Barthea19509|Barthea10285|Barthea37849|Barthea42836|Barthea46120|Barthea34933|Barthea18883|Barthea11159|Barthea46121|Barthea33473|Barthea22037|Barthea44441|Barthea21131|Barthea09350|Barthea21108|Barthea12493|Barthea11788|Barthea34469|Barthea19585|Barthea19586|Barthea46117|Barthea44280|Barthea44897|Barthea27400|Barthea12219|Barthea10166|Barthea22704|Barthea35288|Barthea10455|Barthea20719|Barthea12496|Barthea39846|Barthea24942|Barthea12498|Barthea31097|Barthea37386|Barthea10859|Barthea43899|Barthea40101|Barthea46118|Barthea14381|Barthea07725|Barthea30756|Barthea14382	http://www.genome.jp/kegg-bin/show_pathway?ath00940/ath:AT5G54160%09red/ath:AT5G48930%09red/ath:AT5G06720%09red/ath:AT3G21240%09red/ath:AT4G33420%09red/ath:AT3G10340%09red/ath:AT3G18080%09red/ath:AT4G17690%09red/ath:AT3G53260%09red/ath:AT4G37530%09red/ath:AT3G24503%09red/ath:AT4G33870%09red/ath:AT1G05260%09red/ath:AT1G62940%09red/ath:AT4G36220%09red/ath:AT5G39580%09red/ath:AT2G40890%09red/ath:AT1G49570%09red/ath:AT5G64120%09red/ath:AT1G71695%09red/ath:AT1G26560%09red/ath:AT4G26220%09red/ath:AT3G50740%09red/ath:AT2G30490%09red/ath:AT1G52760%09red/ath:AT3G28200%09red/ath:AT1G68850%09red/ath:AT4G25980%09red/ath:AT4G19010%09red/ath:AT5G05340%09red
Biosynthesis of secondary metabolites	KEGG PATHWAY	ath01110	359	2212	0.00504535231746	0.36809135603	Barthea06035|Barthea01734|Barthea20799|Barthea11159|Barthea01783|Barthea37822|Barthea22684|Barthea33972|Barthea35160|Barthea44280|Barthea29718|Barthea39562|Barthea00008|Barthea34900|Barthea19785|Barthea37386|Barthea20070|Barthea09289|Barthea39460|Barthea37164|Barthea39466|Barthea28719|Barthea10285|Barthea14090|Barthea35364|Barthea44441|Barthea00828|Barthea41353|Barthea13823|Barthea35016|Barthea26826|Barthea38140|Barthea10020|Barthea31195|Barthea08644|Barthea26619|Barthea26617|Barthea45002|Barthea17472|Barthea14382|Barthea27400|Barthea12283|Barthea27568|Barthea16701|Barthea44718|Barthea32462|Barthea33549|Barthea04785|Barthea20451|Barthea29046|Barthea42835|Barthea42836|Barthea22037|Barthea05958|Barthea43550|Barthea36344|Barthea15216|Barthea10333|Barthea43250|Barthea12219|Barthea05306|Barthea09280|Barthea09323|Barthea36290|Barthea36295|Barthea08643|Barthea36434|Barthea08645|Barthea36766|Barthea17230|Barthea37048|Barthea24983|Barthea30418|Barthea46200|Barthea19758|Barthea34933|Barthea36585|Barthea07827|Barthea19615|Barthea19096|Barthea09350|Barthea07829|Barthea25514|Barthea35834|Barthea02770|Barthea07082|Barthea26795|Barthea31097|Barthea21927|Barthea45127|Barthea35333|Barthea23161|Barthea46120|Barthea38177|Barthea20710|Barthea20719|Barthea08670|Barthea08674|Barthea08579|Barthea31734|Barthea12493|Barthea28892|Barthea12496|Barthea19431|Barthea08687|Barthea12498|Barthea46158|Barthea14663|Barthea21989|Barthea07310|Barthea22714|Barthea34975|Barthea17167|Barthea18622|Barthea20101|Barthea37393|Barthea21048|Barthea19005|Barthea29175|Barthea31298|Barthea19361|Barthea19363|Barthea28379|Barthea35789|Barthea21184|Barthea26692|Barthea19093|Barthea21741|Barthea21210|Barthea17604|Barthea30175|Barthea35008|Barthea16966|Barthea25813|Barthea39402|Barthea05019|Barthea19488|Barthea10428|Barthea30100|Barthea21131|Barthea23056|Barthea11788|Barthea12294|Barthea12296|Barthea12357|Barthea41991|Barthea21525|Barthea29427|Barthea24333|Barthea46117|Barthea46114|Barthea43433|Barthea46118|Barthea11324|Barthea19597|Barthea06440|Barthea15618|Barthea23030|Barthea22753|Barthea09298|Barthea32680|Barthea31811|Barthea31701|Barthea27001|Barthea19509|Barthea19265|Barthea26979|Barthea26977|Barthea29220|Barthea09040|Barthea20025|Barthea06065|Barthea00542|Barthea41244|Barthea36240|Barthea10555|Barthea09950|Barthea21522|Barthea43899|Barthea00676|Barthea07830|Barthea22274|Barthea14414|Barthea16518|Barthea37141|Barthea46301|Barthea28737|Barthea08211|Barthea12002|Barthea26521|Barthea18840|Barthea37857|Barthea10679|Barthea39846|Barthea45964|Barthea42602|Barthea20870|Barthea22791|Barthea26985|Barthea12303|Barthea21510|Barthea10859|Barthea35961|Barthea46169|Barthea35146|Barthea28906|Barthea28867|Barthea24891|Barthea34882|Barthea34889|Barthea21353|Barthea21056|Barthea21052|Barthea08787|Barthea44897|Barthea36669|Barthea13639|Barthea14514|Barthea29164|Barthea38546|Barthea17253|Barthea07578|Barthea36963|Barthea11857|Barthea11855|Barthea44094|Barthea41613|Barthea18883|Barthea21220|Barthea06273|Barthea13842|Barthea26703|Barthea13846|Barthea14358|Barthea26708|Barthea26842|Barthea10004|Barthea08326|Barthea08325|Barthea27768|Barthea22993|Barthea29590|Barthea42887|Barthea05923|Barthea27019|Barthea37849|Barthea29181|Barthea46121|Barthea22580|Barthea36733|Barthea21108|Barthea22762|Barthea01493|Barthea14381|Barthea29337|Barthea25073|Barthea19456|Barthea40475|Barthea20785|Barthea11248|Barthea25340|Barthea09679|Barthea17583|Barthea46223|Barthea10382|Barthea25291|Barthea39480|Barthea24696|Barthea32967|Barthea24737|Barthea29153|Barthea08806|Barthea10166|Barthea46316|Barthea35288|Barthea12018|Barthea34677|Barthea21166|Barthea25586|Barthea44594|Barthea41251|Barthea29310|Barthea16166|Barthea44772|Barthea41441|Barthea16980|Barthea17841|Barthea11742|Barthea36523|Barthea40958|Barthea11663|Barthea22302|Barthea45072|Barthea23732|Barthea20865|Barthea20862|Barthea42903|Barthea20868|Barthea31750|Barthea04461|Barthea29273|Barthea07467|Barthea01441|Barthea46070|Barthea46071|Barthea30756|Barthea28912|Barthea02141|Barthea10220|Barthea17545|Barthea22825|Barthea12205|Barthea22631|Barthea35418|Barthea07844|Barthea31875|Barthea28984|Barthea33185|Barthea25406|Barthea08796|Barthea11285|Barthea08793|Barthea42637|Barthea15865|Barthea20905|Barthea08799|Barthea40043|Barthea07725|Barthea40981|Barthea31278|Barthea06211|Barthea37722|Barthea44774|Barthea00287|Barthea05386|Barthea12111|Barthea19677|Barthea35150|Barthea24171|Barthea16940|Barthea44530|Barthea07107|Barthea38688|Barthea32877|Barthea39346|Barthea40912|Barthea11933|Barthea46323|Barthea41102|Barthea04582|Barthea34469|Barthea27026|Barthea27027|Barthea41081|Barthea20256|Barthea35935|Barthea29034|Barthea33473|Barthea40961	http://www.genome.jp/kegg-bin/show_pathway?ath01110/ath:AT5G10300%09red/ath:AT5G23960%09red/ath:AT5G06720%09red/ath:AT4G15560%09red/ath:AT3G25900%09red/ath:AT4G22920%09red/ath:AT4G11980%09red/ath:AT4G19860%09red/ath:AT3G47390%09red/ath:AT3G25860%09red/ath:AT5G38970%09red/ath:AT4G37770%09red/ath:AT1G31800%09red/ath:AT4G11570%09red/ath:AT1G02400%09red/ath:AT3G10340%09red/ath:AT4G17690%09red/ath:AT1G80560%09red/ath:AT1G74020%09red/ath:AT4G30340%09red/ath:AT2G18620%09red/ath:AT4G20960%09red/ath:AT4G37000%09red/ath:AT1G09430%09red/ath:AT1G05260%09red/ath:AT4G33360%09red/ath:AT1G43710%09red/ath:AT1G22170%09red/ath:AT3G59890%09red/ath:AT5G19040%09red/ath:AT1G32100%09red/ath:AT1G76490%09red/ath:AT5G39580%09red/ath:AT3G23940%09red/ath:AT1G68460%09red/ath:AT3G53580%09red/ath:AT5G11380%09red/ath:AT2G40890%09red/ath:AT2G45300%09red/ath:AT5G53460%09red/ath:AT1G09780%09red/ath:AT5G43330%09red/ath:AT1G20330%09red/ath:AT4G21200%09red/ath:AT1G78440%09red/ath:AT4G37870%09red/ath:AT4G35790%09red/ath:AT1G77330%09red/ath:AT5G42800%09red/ath:AT1G20950%09red/ath:AT2G30490%09red/ath:AT2G26250%09red/ath:AT1G08250%09red/ath:AT1G78390%09red/ath:AT2G45150%09red/ath:AT5G57030%09red/ath:AT5G65780%09red/ath:AT3G51820%09red/ath:AT4G32520%09red/ath:AT4G32770%09red/ath:AT2G02010%09red/ath:AT1G11790%09red/ath:AT4G29840%09red/ath:AT3G04520%09red/ath:AT5G16390%09red/ath:AT3G13450%09red/ath:AT5G17230%09red/ath:AT5G54160%09red/ath:AT5G10240%09red/ath:AT2G43090%09red/ath:AT1G52340%09red/ath:AT5G17330%09red/ath:AT2G44990%09red/ath:AT5G13420%09red/ath:AT3G51240%09red/ath:AT1G31860%09red/ath:AT4G11820%09red/ath:AT4G14940%09red/ath:AT3G61610%09red/ath:AT2G42010%09red/ath:AT3G18080%09red/ath:AT1G04410%09red/ath:AT4G29130%09red/ath:AT2G20420%09red/ath:AT1G21400%09red/ath:AT1G13440%09red/ath:AT2G20340%09red/ath:AT1G74910%09red/ath:AT5G48220%09red/ath:AT3G02580%09red/ath:AT5G50375%09red/ath:AT5G49070%09red/ath:AT4G29010%09red/ath:AT1G44820%09red/ath:AT1G11680%09red/ath:AT2G33150%09red/ath:AT1G70580%09red/ath:AT1G25450%09red/ath:AT1G15550%09red/ath:AT5G66120%09red/ath:AT1G15710%09red/ath:AT1G02205%09red/ath:AT3G04870%09red/ath:AT1G64710%09red/ath:AT5G64120%09red/ath:AT3G10050%09red/ath:AT3G61510%09red/ath:AT1G71695%09red/ath:AT1G26560%09red/ath:AT4G09320%09red/ath:AT5G56630%09red/ath:AT3G50660%09red/ath:AT1G52760%09red/ath:AT2G42490%09red/ath:AT2G21940%09red/ath:AT5G42740%09red/ath:AT1G68850%09red/ath:AT1G61720%09red/ath:AT1G34430%09red/ath:AT5G10480%09red/ath:AT5G13930%09red/ath:AT4G35640%09red/ath:AT3G30180%09red/ath:AT2G06925%09red/ath:AT5G11520%09red/ath:AT1G44446%09red/ath:AT4G37840%09red/ath:AT2G36460%09red/ath:AT3G15730%09red/ath:AT4G34740%09red/ath:AT4G13010%09red/ath:AT1G52570%09red/ath:AT3G08590%09red/ath:AT5G26780%09red/ath:AT2G36780%09red/ath:AT1G11755%09red/ath:AT1G50090%09red/ath:AT1G30100%09red/ath:AT5G64050%09red/ath:AT3G03310%09red/ath:AT1G50460%09red/ath:AT2G06050%09red/ath:AT3G63250%09red/ath:AT4G16210%09red/ath:AT3G53260%09red/ath:AT5G23330%09red/ath:AT4G37530%09red/ath:AT5G49460%09red/ath:AT2G37250%09red/ath:AT4G38970%09red/ath:AT1G62940%09red/ath:AT5G01320%09red/ath:AT4G23660%09red/ath:AT4G18480%09red/ath:AT2G19590%09red/ath:AT3G57650%09red/ath:AT5G07990%09red/ath:AT3G21240%09red/ath:AT5G09300%09red/ath:AT5G17990%09red/ath:AT4G36220%09red/ath:AT1G17420%09red/ath:AT1G05160%09red/ath:AT3G58750%09red/ath:AT1G14810%09red/ath:AT4G37930%09red/ath:ArthCp031%09red/ath:AT3G46970%09red/ath:AT3G58610%09red/ath:AT5G47770%09red/ath:AT1G25220%09red/ath:AT1G44170%09red/ath:AT3G14440%09red/ath:AT3G52160%09red/ath:AT2G44350%09red/ath:AT3G28200%09red/ath:AT2G01140%09red/ath:AT4G09020%09red/ath:AT4G23900%09red/ath:AT4G25980%09red/ath:AT4G19010%09red/ath:AT5G56760%09red/ath:AT1G78950%09red/ath:AT1G15080%09red/ath:AT2G38280%09red/ath:AT5G19220%09red/ath:AT1G59900%09red/ath:AT2G26870%09red/ath:AT5G48930%09red/ath:AT5G05260%09red/ath:AT2G26640%09red/ath:AT4G36250%09red/ath:AT1G30040%09red/ath:AT1G23800%09red/ath:AT5G40610%09red/ath:AT4G33420%09red/ath:ArthCp030%09red/ath:AT3G04940%09red/ath:AT3G55610%09red/ath:AT3G18850%09red/ath:AT1G02500%09red/ath:AT2G17265%09red/ath:AT1G49570%09red/ath:AT5G57690%09red/ath:AT2G22480%09red/ath:AT2G07050%09red/ath:AT2G44810%09red/ath:AT4G12110%09red/ath:AT4G13770%09red/ath:AT4G21470%09red/ath:AT5G47760%09red/ath:AT4G33870%09red/ath:AT1G24280%09red/ath:AT1G63970%09red/ath:AT2G32440%09red/ath:AT2G38110%09red/ath:AT3G45140%09red/ath:AT1G43670%09red/ath:AT1G08630%09red/ath:AT2G44530%09red/ath:AT3G48560%09red/ath:AT1G13280%09red/ath:AT4G36380%09red/ath:AT5G15530%09red/ath:AT5G42650%09red/ath:AT4G34890%09red/ath:AT2G04400%09red/ath:AT2G30970%09red/ath:AT1G79470%09red/ath:AT1G01090%09red/ath:AT5G15140%09red/ath:AT3G02600%09red/ath:AT1G23360%09red/ath:AT4G26220%09red/ath:AT4G19170%09red/ath:AT4G14930%09red/ath:AT1G54100%09red/ath:AT1G54340%09red/ath:AT5G22300%09red/ath:AT2G39770%09red/ath:AT4G32810%09red/ath:AT4G26850%09red/ath:AT3G22960%09red/ath:AT1G71100%09red/ath:AT5G08640%09red/ath:AT1G61680%09red/ath:AT1G65930%09red/ath:AT3G53160%09red/ath:AT5G05340%09red
Other types of O-glycan biosynthesis	KEGG PATHWAY	ath00514	14	45	0.0109015946822	0.568105828117	Barthea21124|Barthea22875|Barthea01095|Barthea31663|Barthea31662|Barthea21139|Barthea37894|Barthea21123|Barthea22822|Barthea21104|Barthea21129|Barthea41236|Barthea21101|Barthea21113	http://www.genome.jp/kegg-bin/show_pathway?ath00514/ath:AT5G13500%09red/ath:AT3G01720%09red/ath:AT2G35610%09red/ath:AT1G17270%09red/ath:AT3G04240%09red/ath:AT5G25265%09red
Betalain biosynthesis	KEGG PATHWAY	ath00965	6	11	0.0127797382265	0.588099624443	Barthea34931|Barthea08806|Barthea08796|Barthea08787|Barthea08793|Barthea08799	http://www.genome.jp/kegg-bin/show_pathway?ath00965/ath:AT4G15093%09red/ath:AT2G20340%09red
Indole alkaloid biosynthesis	KEGG PATHWAY	ath00901	7	15	0.013493346568	0.588099624443	Barthea36344|Barthea08806|Barthea08796|Barthea08787|Barthea08793|Barthea42637|Barthea08799	http://www.genome.jp/kegg-bin/show_pathway?ath00901/ath:AT2G20340%09red/ath:AT1G74020%09red
Ascorbate and aldarate metabolism	KEGG PATHWAY	ath00053	23	95	0.016595775351	0.634715582367	Barthea07082|Barthea25476|Barthea29164|Barthea11103|Barthea07998|Barthea07107|Barthea19791|Barthea46323|Barthea21592|Barthea21610|Barthea21595|Barthea21596|Barthea06273|Barthea25534|Barthea37857|Barthea22935|Barthea34677|Barthea40961|Barthea25586|Barthea21587|Barthea21585|Barthea21584|Barthea21588	http://www.genome.jp/kegg-bin/show_pathway?ath00053/ath:AT3G27820%09red/ath:AT5G15490%09red/ath:AT4G36250%09red/ath:AT1G54100%09red/ath:AT1G23800%09red/ath:AT4G26850%09red/ath:AT4G26260%09red/ath:AT1G14520%09red/ath:AT1G63940%09red/ath:AT1G44170%09red
