GeneName	RepeatName	r.squared	adjusted-r.squared	model-p.value	individual-p.vals
Barthea11323	TE_homo_13548	0.857137970970953	0.714275941941906	0.142862029029047	TE_homo_13548 : 0.470497825377234 // ColorW : 0.320169995685528
Barthea00081	TE_homo_136	0.955386670917585	0.91077334183517	0.044613329082415	TE_homo_136 : 0.376993669896047 // ColorW : 0.383773771704997
Barthea00150	TE_homo_161	0.831712508529816	0.663425017059633	0.168287491470184	TE_homo_161 : 0.174393356121578 // ColorW : 0.556612546131722
Barthea02875	TE_homo_1656	0.849561460911993	0.699122921823987	0.150438539088007	TE_homo_1656 : 0.501884535771829 // ColorW : 0.176810831875927
Barthea02880	TE_homo_1673	0.800088050696434	0.600176101392867	0.199911949303566	TE_homo_1673 : 0.491269061176372 // ColorW : 0.214728369769955
Barthea03076	TE_homo_1727	0.552531267790026	0.105062535580051	0.447468732209974	TE_homo_1727 : 0.27123325156063 // ColorW : 0.743849544292647
Barthea13711	TE_homo_17473	0.923074322577791	0.846148645155582	0.076925677422209	TE_homo_17473 : 0.54405878656551 // ColorW : 0.216445421355627
Barthea03635	TE_homo_1891	0.962771794633585	0.92554358926717	0.037228205366415	TE_homo_1891 : 0.131517249463799 // ColorW : 0.114550700823153
Barthea15217	TE_homo_19923	0.700077824819889	0.400155649639778	0.299922175180111	TE_homo_19923 : 0.754634011094641 // ColorW : 0.488497807794503
Barthea15939	TE_homo_20142	0.617245887972056	0.234491775944112	0.382754112027944	TE_homo_20142 : 0.508736319139805 // ColorW : 0.250703840599432
Barthea16003	TE_homo_20171 TE_homo_20172 TE_homo_20174	1	NA	NA	TE_homo_20171 : NaN // TE_homo_20172 : NaN // TE_homo_20174 : NaN // ColorW : NaN
Barthea16226	TE_homo_20201	0.733731543413579	0.467463086827157	0.266268456586421	TE_homo_20201 : 0.636493200565552 // ColorW : 0.169488517430695
Barthea16430	TE_homo_20252	0.315051124869985	-0.36989775026003	0.684948875130015	TE_homo_20252 : 0.462660421331684 // ColorW : 0.470336975480135
Barthea04570	TE_homo_2209	0.909751261386183	0.819502522772367	0.0902487386138167	TE_homo_2209 : 0.323095219313111 // ColorW : 0.0560072135446482
Barthea04603	TE_homo_2216	0.465689364072721	-0.0686212718545587	0.534310635927279	TE_homo_2216 : 0.343577437822549 // ColorW : 0.317763633409434
Barthea17446	TE_homo_22338	0.663456095431433	0.326912190862865	0.336543904568567	TE_homo_22338 : 0.99176224590449 // ColorW : 0.259687178149265
Barthea04902	TE_homo_2354	0.828805933938226	0.657611867876453	0.171194066061774	TE_homo_2354 : 0.0966093171882122 // ColorW : 0.456343326221324
Barthea17795	TE_homo_23576	0.369741394518258	-0.260517210963483	0.630258605481742	TE_homo_23576 : 0.403932709647617 // ColorW : 0.545910623768484
Barthea06577	TE_homo_2865	0.171795316162577	-0.656409367674845	0.828204683837423	TE_homo_2865 : 0.589962948368757 // ColorW : 0.718552454278917
Barthea00806	TE_homo_316	0.537853658231161	0.0757073164623223	0.462146341768839	TE_homo_316 : 0.867721120759568 // ColorW : 0.317482192834569
Barthea21294	TE_homo_34333 TE_homo_34335 TE_homo_34336 TE_homo_34337 TE_homo_34338	1	NA	NA	TE_homo_34333 : NaN // TE_homo_34335 : NaN // TE_homo_34336 : NaN // TE_homo_34337 : NaN
Barthea21675	TE_homo_38024	0.913600394803754	0.827200789607508	0.0863996051962461	TE_homo_38024 : 0.197332052311602 // ColorW : 0.0923842215680285
Barthea23450	TE_homo_41295	0.126941916825426	-0.746116166349148	0.873058083174574	TE_homo_41295 : 0.93445466581371 // ColorW : 0.688181490316438
Barthea23654	TE_homo_41377	0.944964144966461	0.889928289932922	0.0550358550335388	TE_homo_41377 : 0.0981900827959265 // ColorW : 0.460656924577787
Barthea23782	TE_homo_41433	0.827335741698008	0.654671483396017	0.172664258301992	TE_homo_41433 : 0.707182392838694 // ColorW : 0.655159179793882
Barthea23995	TE_homo_41482	0.161810646799023	-0.676378706401953	0.838189353200977	TE_homo_41482 : 0.966547323514101 // ColorW : 0.608108591658287
Barthea01125	TE_homo_414	0.997066611710691	0.994133223421382	0.00293338828930882	TE_homo_414 : 0.256046331095916 // ColorW : 0.00146937154242775
Barthea24970	TE_homo_43025	0.985313411236787	0.970626822473573	0.0146865887632133	TE_homo_43025 : 0.117479512191592 // ColorW : 0.00931083144687508
Barthea25192	TE_homo_43765 TE_homo_43766	0.996379946367923	0.985519785471693	0.0765606075540844	TE_homo_43765 : 0.0564321614274339 // TE_homo_43766 : 0.0866352272019369 // ColorW : 0.273872311606732
Barthea25278	TE_homo_43984	0.400484727532923	-0.199030544934154	0.599515272467077	TE_homo_43984 : 0.761150030923019 // ColorW : 0.545722686640858
Barthea25406	TE_homo_44470	0.961361875249841	0.922723750499682	0.0386381247501592	TE_homo_44470 : 0.104358058812282 // ColorW : 0.0225522192942164
Barthea26643	TE_homo_45499	0.197275422944646	-0.605449154110708	0.802724577055354	TE_homo_45499 : 0.879872441397422 // ColorW : 0.94329801029682
Barthea27537	TE_homo_47811	0.858915760123532	0.717831520247064	0.141084239876468	TE_homo_47811 : 0.202659039352433 // ColorW : 0.668233529118478
Barthea27642	TE_homo_47868	0.674192010671502	0.348384021343004	0.325807989328498	TE_homo_47868 : 0.351817687620482 // ColorW : 0.657785673973217
Barthea28375	TE_homo_48127	0.40950780838801	-0.18098438322398	0.59049219161199	TE_homo_48127 : 0.446955495416866 // ColorW : 0.719788266798557
Barthea29203	TE_homo_50565	0.373836164272525	-0.252327671454949	0.626163835727475	TE_homo_50565 : 0.394893556297545 // ColorW : 0.59884934941338
Barthea07914	TE_homo_5194	0.848065177181015	0.69613035436203	0.151934822818985	TE_homo_5194 : 0.117964798120187 // ColorW : 0.0790974726337045
Barthea29803	TE_homo_52478	0.903641605423146	0.807283210846292	0.096358394576854	TE_homo_52478 : 0.307459933983962 // ColorW : 0.926107080359812
Barthea08356	TE_homo_5438	0.91437331042111	0.82874662084222	0.0856266895788903	TE_homo_5438 : 0.112393409399541 // ColorW : 0.964107933381197
Barthea32172	TE_homo_56029	0.586488245158859	0.172976490317719	0.413511754841141	TE_homo_56029 : 0.715241425881406 // ColorW : 0.258394150722606
Barthea32182	TE_homo_56047	0.573750036188485	0.147500072376971	0.426249963811515	TE_homo_56047 : 0.368721063459873 // ColorW : 0.249096125155195
Barthea32193	TE_homo_56066	0.957085164448241	0.914170328896482	0.0429148355517591	TE_homo_56066 : 0.0840437353327618 // ColorW : 0.0237576900291478
Barthea08540	TE_homo_5631	0.927102774436921	0.854205548873842	0.0728972255630791	TE_homo_5631 : 0.115398730378656 // ColorW : 0.0642164359152202
Barthea33030	TE_homo_56375 TE_homo_56376 TE_homo_56377	1	NA	NA	TE_homo_56375 : NaN // TE_homo_56376 : NaN // TE_homo_56377 : NaN // ColorW : NaN
Barthea08543	TE_homo_5640 TE_homo_5641	0.559466334073497	-0.762134663706011	0.778103359237106	TE_homo_5640 : 0.614914901436885 // TE_homo_5641 : 0.954295056794675 // ColorW : 0.491920728972236
Barthea33693	TE_homo_57267	0.790556533090491	0.581113066180981	0.209443466909509	TE_homo_57267 : 0.414042184760326 // ColorW : 0.297122185330686
Barthea08560	TE_homo_5736	0.725092595340934	0.450185190681869	0.274907404659066	TE_homo_5736 : 0.7869184452532 // ColorW : 0.150992380223874
Barthea34444	TE_homo_58831	0.843908697397133	0.687817394794265	0.156091302602867	TE_homo_58831 : 0.684202612656127 // ColorW : 0.0860967971761024
Barthea36209	TE_homo_62071	0.835746725310396	0.671493450620792	0.164253274689604	TE_homo_62071 : 0.501602707787107 // ColorW : 0.111034707849989
Barthea37387	TE_homo_64857	0.862664037043447	0.725328074086894	0.137335962956553	TE_homo_64857 : 0.288213770491834 // ColorW : 0.0802983556397223
Barthea37656	TE_homo_64915 TE_homo_64916 TE_homo_64917 TE_homo_64919	1	NA	NA	TE_homo_64915 : NaN // TE_homo_64916 : NaN // TE_homo_64917 : NaN // TE_homo_64919 : NaN
Barthea38015	TE_homo_66934	0.919593521500206	0.839187043000412	0.080406478499794	TE_homo_66934 : 0.696015659110898 // ColorW : 0.11084615582545
Barthea38016	TE_homo_66935	0.797151073836662	0.594302147673323	0.202848926163338	TE_homo_66935 : 0.32284325326563 // ColorW : 0.933021965429622
Barthea38067	TE_homo_67157	0.982439717133751	0.964879434267502	0.017560282866249	TE_homo_67157 : 0.64053439437308 // ColorW : 0.00883993699686872
Barthea38068	TE_homo_67160 TE_homo_67163	0.895734441172092	0.582937764688368	0.403870717652975	TE_homo_67160 : 0.235373060347462 // TE_homo_67163 : 0.96135787060043 // ColorW : 0.461275127591183
Barthea38071	TE_homo_67167	0.88267595257698	0.765351905153959	0.11732404742302	TE_homo_67167 : 0.886180421974743 // ColorW : 0.160461048671006
Barthea38222	TE_homo_67354	0.592858526113975	0.185717052227951	0.407141473886025	TE_homo_67354 : 0.365800780837025 // ColorW : 0.238140014013898
Barthea39274	TE_homo_68532	0.948233317585278	0.896466635170556	0.0517666824147218	TE_homo_68532 : 0.536513723711702 // ColorW : 0.0624910766060516
Barthea40943	TE_homo_70976	0.971735976426982	0.943471952853963	0.0282640235730184	TE_homo_70976 : 0.214660645706195 // ColorW : 0.147334781709427
Barthea41156	TE_homo_71260	0.242931884599767	-0.514136230800466	0.757068115400233	TE_homo_71260 : 0.804919891537843 // ColorW : 0.839721359914042
Barthea42890	TE_homo_75048	0.74613556971371	0.49227113942742	0.25386443028629	TE_homo_75048 : 0.710912269564146 // ColorW : 0.16347466424091
