	EHZ1	EHZ2	TJS1	TJS2	TJS3
Barthea00009	1.13557299969007	1.47432439409479	1.955718702152	1.73587781706642	2.42937373284863
Barthea00010	-0.178087479213693	0.0958127708410647	0.9638465830354	0.767586676793757	1.01186797797904
Barthea00011	4.28321655375637	3.89430771597844	3.58351017486156	3.18653922607598	3.80218299673818
Barthea00012	1.32198612392095	0.747889467420758	0.418850489631888	0.72515141047336	0.75278075666191
Barthea00013	2.96409253174571	3.1905314280942	2.63277139490088	2.91172765246584	3.22718488223537
Barthea00014	4.02578485415196	3.87642283766614	4.16935156384681	4.31190719301757	4.09117009824844
Barthea00015	6.57489043294114	6.7376064941589	6.83213159195033	7.45246231849941	7.60770022052622
Barthea00016	3.11469427001415	2.86739656187685	-0.557690537544123	0.72515141047336	0.313896515428698
Barthea00017	3.47726434939886	3.0054487431884	3.07682778765127	3.03844058708685	2.25667164673575
Barthea00019	0.575272553203182	-0.641152823325141	1.08802599425613	0.887880910511469	0.75278075666191
Barthea00020	2.0055124591257	1.40947324974483	3.50770388042688	3.50768516044493	3.07470885154927
Barthea00021	4.35974104591637	3.89430771597844	3.40995408914349	3.64490415701893	3.18398719283426
Barthea00022	5.88060009582554	6.01977687980852	5.71993433072641	5.45753402111721	5.59765369985856
Barthea00023	4.43578089795384	4.30415165588861	4.98696235860073	5.19336510247022	4.78638428689144
Barthea00024	1.20042414404004	0.521118605573736	1.38293091537695	1.45347808636569	1.01186797797904
Barthea00025	2.45418073628582	1.56644259608323	2.62253947228993	2.52324836466987	2.47309511027795
Barthea00028	4.63073883006058	3.89430771597844	5.16847267558271	5.94272938750709	5.55590613877757
Barthea00030	4.76275044831816	4.97635837126421	5.05130942428574	6.02483785534186	5.53886288042897
Barthea00031	6.13919591290741	6.19474719618953	6.2104937872328	6.72750463604141	6.6466044490693
Barthea00032	5.22693238629597	5.21089358901661	5.56158530604546	5.70823009238776	6.06462210855037
Barthea00033	3.82962061592157	3.01637830334666	3.90385492035909	3.80626714495782	3.67066635952836
Barthea00034	2.97340027397194	3.15140509680438	3.27274799762652	2.55992902799634	3.76748725547693
Barthea00035	1.20042414404004	1.30637975678072	2.68287000649125	2.61906415208367	3.11206226603164
Barthea00036	-0.178087479213693	0.988897566924553	0.370756201430843	0.49195223418033	0.248308173801121
Barthea00037	4.6040214916848	4.46438159084722	4.5447508671822	4.52788477479059	4.4784682823768
Barthea00039	3.71222023219922	3.14145543639678	4.48105148823482	4.49669015318699	4.72441853358505
Barthea00041	4.11679579265944	4.36527344583429	3.86532368245755	4.04060517120017	4.10975579864847
Barthea00042	2.98264835077396	3.54017694138942	1.30829211448419	1.95368296890722	1.16189342198365
Barthea00043	-0.552482993995191	0.392794508598196	-0.467492728572544	0.767586676793757	0.179595423717107
Barthea00044	7.14924060341626	4.01909780470025	5.54542802985171	2.67587050770214	6.93350515895675
Barthea00045	3.45750109457743	3.38015768292027	3.94138378607963	3.96055841499814	4.02416724292948
Barthea00046	5.64318540088885	5.49888567918495	5.76249130531536	5.4412414138468	4.98820650174514
Barthea00047	4.3165109938548	4.40739892150697	4.25795099569844	4.59422726961928	4.29168523633854
Barthea00048	6.05182998897497	6.22803706309815	5.70425270849414	5.95769762674983	5.77696671112934
Barthea00049	4.97224008489383	5.14519460490257	6.4884653295493	6.32217552847139	6.90784779937711
Barthea00053	4.51758824436986	4.76256936272587	4.05606922748447	3.69523583256907	4.05326459981021
Barthea00054	1.46081382861827	1.59588637397571	1.30829211448419	1.60157672535483	2.0604481584241
Barthea00056	4.72742846641861	5.07896926067765	4.52291211464627	4.49036946381764	4.90552274643087
Barthea00057	7.29370384278301	7.46811817682849	8.276525623826	7.17500839912511	8.27441337390214
Barthea00059	3.90451779838734	3.61398818035102	4.30029045758345	3.97873434096258	3.86370257073624
Barthea00060	3.84491434614792	4.22627301758688	4.11564703654179	4.70482188139827	4.78926967793502
Barthea00061	7.02326632856463	7.43133073555151	7.19180047803655	7.7141751560111	7.38070328612553
Barthea00062	5.53104557963868	5.78910058484627	5.89165783027102	6.5760612690984	6.31439736425889
Barthea00063	3.73428865547855	3.73140134463219	3.43939786703597	3.82145354877249	3.67691180235926
Barthea00064	1.35084098659314	0.747889467420758	0.995907792267698	1.52942693959899	1.56351040550017
Barthea00065	0.842376623346023	0.175983119525048	2.16759325157445	2.32439813720076	2.32188930618223
Barthea00066	0.842376623346023	0.175983119525048	2.16759325157445	2.32439813720076	2.32188930618223
Barthea00067	4.03025140583385	4.6927479132283	3.50213362238394	2.91172765246584	3.10281418922963
Barthea00069	5.8289798452955	5.89800598778289	4.78846571239722	4.8770199178797	4.35537315140486
Barthea00073	5.35351677414391	4.84458066662464	5.0889552664563	4.89627218077061	4.82907068599299
Barthea00074	3.17240976787044	2.24265415917034	1.22958013847015	1.75709430297611	2.35342487961534
Barthea00076	6.75636162403826	7.31940080857409	6.5342139970978	7.09186507636746	6.98537861118098
Barthea00077	3.30365430114869	3.97495837596668	3.46825272970816	3.7385470038424	3.45503861624198
Barthea00078	4.45584187065574	4.44832918556185	4.81341860715868	4.90580281850873	4.63100759401828
Barthea00079	4.94411191446155	4.8353523086711	4.51740037903725	4.05780591195378	4.6753529745027
Barthea00080	4.06549456395393	4.53828239739964	4.13736932958632	4.03192728012818	3.55336245012409
Barthea00081	4.14590013785196	4.16865357772656	4.67174853354222	4.67447727240228	4.89484595364323
Barthea00082	3.73975341595537	4.54206900073063	5.95724617189859	4.01881178033792	5.58608563640561
Barthea00086	9.10672009993104	9.774236853434	8.74380565743843	8.04128093824653	9.2058152013418
Barthea00087	9.10672009993104	9.774236853434	8.74380565743843	8.04128093824653	9.2058152013418
Barthea00088	1.26248511217229	1.59588637397571	0.9638465830354	1.10200571586432	1.69240813868243
Barthea00092	3.60252258761138	3.82139813715633	1.76423755734324	2.04276651248964	0.79932334259894
Barthea00093	4.91058720170545	5.19895068107217	4.85334200132055	4.70208950361014	4.92664217266339
Barthea00094	4.99983031298215	5.02587421472052	5.31068398301917	5.25058456658632	5.73568084714813
Barthea00095	4.33828793625005	4.84151110154987	4.42916075840958	5.07796895127349	5.09233874557106
Barthea00097	5.17543746056801	5.37485949466349	5.04749024259569	4.8818571228837	4.751301827736
Barthea00098	2.14384061567367	2.60315437443975	3.00774940491221	1.62484650467767	2.20574771157308
Barthea00099	5.2481772754884	6.00201620518825	5.38973431041511	4.9105446306358	6.09642157234539
Barthea00101	2.69825405303522	3.20970373736905	3.21943218309407	3.6842017822941	3.59353288859962
Barthea00103	4.16633525346076	4.66523442066644	3.63531807701123	3.95597842689488	4.10513177212303
Barthea00104	4.75467564156183	4.99028410719552	4.69878449585462	4.47444551582913	4.05326459981021
Barthea00105	1.26248511217229	1.03261894435387	1.08802599425613	1.42724654479251	2.02171576393539
Barthea00106	5.42649222351988	5.6712979932587	4.95877202612955	4.79989199078859	4.92139122950222
Barthea00107	1.03247950672597	1.19534844439198	-0.22648462906875	0.440421933540248	0.930567875877192
Barthea00108	2.25487192806241	4.452359062598	3.40399253090477	4.91998175367849	4.00939549229952
Barthea00109	1.20042414404004	0.638955095867594	0.827963154953627	-0.131484414355462	0.313896515428698
Barthea00110	4.5112116813222	5.1276616368804	3.21262700518895	3.53864546962837	3.51901094533331
Barthea00111	3.1314213564196	2.92653168596418	3.3492000580644	3.24777685559785	3.46950184555394
Barthea00113	2.09350894012353	1.97775700931935	2.95978836646105	3.04707950536072	3.38809745727012
Barthea00114	0.525519518006082	1.99995275543355	0.216033606632201	-0.211654763039446	-0.654394624843964
Barthea00115	1.13557299969007	1.78670871631129	0.897504088206704	0.589799557578474	0.313896515428698
Barthea00117	4.06549456395393	3.65652772531554	4.55015928978949	5.08217813016269	5.54228767738659
Barthea00118	4.35974104591637	3.94666933153526	3.46252774187453	3.39715447963608	2.54314260780621
Barthea00120	4.33468119676932	3.98612048225398	5.17723755698226	5.40305508107576	5.33675747323751
Barthea00121	1.13557299969007	0.84917280325794	0.160538494040498	-0.211654763039446	0.494468761070519
Barthea00122	3.48379239239636	2.86739656187685	2.57026219342287	2.09369044765231	2.69856036566402
Barthea00123	4.01681005046008	4.38227152218619	4.30988713403957	4.24214498751852	4.7776933266274
Barthea00125	4.54593905924501	4.49205056299117	4.35384642292076	3.67308269033052	4.37086532755777
Barthea00126	5.60925542605258	5.90390357408825	5.29466277405496	5.67934772086024	5.66045949489636
Barthea00127	3.12308205550687	2.89134225750188	4.05606922748447	4.03192728012818	4.52074808586937
Barthea00130	3.88492231831211	3.78351337715148	3.71933433278019	3.79605333209582	4.58193160232086
Barthea00131	1.95001734653399	1.15635431277612	0.754899692763903	0.887880910511469	0.888132609556796
Barthea00133	4.11679579265944	4.00818890553331	4.80665596177173	4.97307892391695	5.29878962303849
Barthea00134	5.71291500468599	5.61128734641236	5.57491283769246	5.62412497676022	5.45412983193421
Barthea00137	5.10731473964856	4.84764371457119	4.82461971187926	4.43549525246032	4.42009591926062
Barthea00138	3.43072176346183	3.55524438947836	3.7525557522956	4.44859586498595	3.90152820292584
Barthea00139	-0.262976376800206	0.0958127708410647	1.17461367925222	2.15890810709879	1.53628893676515
