baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Barthea00029	15.704610771337	-2.90538178756892	0.848366228232868	-3.42467874236435	0.000615526797686221	0.00978016581620504
Barthea00035	75.9696636261005	-1.66632768886364	0.5543693971941	-3.00580749460132	0.00264876630328822	0.030431929983826
Barthea00042	119.480028884829	1.66538751125909	0.45564040702127	3.65504789653422	0.000257133968043033	0.0048524441917076
Barthea00088	1164.05423124443	-5.72911833307331	0.90174559288069	-6.35336438381831	2.10655910440925e-10	2.22420097506259e-08
Barthea00098	52.6380838960465	8.22672830190682	1.28071368382345	6.42354993611586	1.33132443159845e-10	1.45739682095437e-08
Barthea00120	794.938298538473	-1.72219772773508	0.295615394397289	-5.82580528746264	5.68378538990286e-09	4.63641042087641e-07
Barthea00146	737.207485921371	1.62144645255033	0.30269398848575	5.35671838301691	8.47470539267772e-08	5.06629107842406e-06
Barthea00158	52.0185679621039	1.66979191870076	0.516024525634723	3.2358770479889	0.00121269607211632	0.0166980952483754
Barthea00170	81.6419517462552	-3.16032840864432	1.06463551426422	-2.96846044143891	0.00299295623988029	0.0333693735828318
Barthea00173	79.7943686224138	-1.32512069309632	0.43175134549264	-3.06917559593086	0.00214650385430867	0.0258906349705845
Barthea00175	237.037882946672	1.25761164341577	0.376819616759007	3.33743676678082	0.000845549593616757	0.0125997851199668
Barthea00186	97.5278450792553	-2.88726435775423	1.01373432602548	-2.84814697858191	0.00439746103848077	0.0444625333908766
Barthea00191	61.2126758150583	1.94915508119814	0.611878825329273	3.18552465048817	0.00144491793653545	0.0191450680220803
Barthea00192	16.9809943830897	2.48566913776069	0.75130782848145	3.30845632579758	0.000938118155359878	0.0136730045266069
Barthea00199	276.56592830999	1.00325556660951	0.308424053239222	3.25284476380109	0.00114255897765609	0.0159406676675742
Barthea00212	201.169129297547	-3.26002557875588	0.802224330636701	-4.06373311585862	4.82940427110773e-05	0.00124109309456948
Barthea00219	110.803002716256	1.67269243724262	0.460485089107052	3.63245732991314	0.000280735009040296	0.00519318693570335
Barthea00230	223.303631675909	1.92997423720461	0.4157995993071	4.64159715502557	3.45726395536846e-06	0.000130778701976634
Barthea00243	126.555403217956	-1.20405760157377	0.38118636593567	-3.15871109035669	0.00158468500270831	0.020661367365809
Barthea00256	46.679758423619	-1.45299089899339	0.506173095953911	-2.87054154123927	0.00409769351256739	0.0422491025761729
Barthea00266	593.405812714931	-1.81905658413008	0.638542361168103	-2.84876414589383	0.00438894033102222	0.0444030120506999
Barthea00269	10.6310719533994	-3.2817632660031	0.982570733191992	-3.33997660946192	0.000837854463922124	0.0125257137194388
Barthea00300	59.6200924749226	-3.46153564084529	0.656488815164985	-5.27280215730005	1.34356377204669e-07	7.6263454288733e-06
Barthea00304	118.87125452206	-1.33535089804369	0.405332421088069	-3.2944586432516	0.000986114543776962	0.0141994376234289
Barthea00321	334.700322834463	-2.56820767362037	0.885371400377475	-2.90071225761915	0.0037231558796946	0.0393189827971506
Barthea00323	553.911570703074	1.54467362382138	0.487498426748425	3.16857150519281	0.00153190061122764	0.0201079349631035
Barthea00330	45.6590464577499	-2.15864424630226	0.680401653554913	-3.17260288099527	0.00151079020321012	0.0198669304543297
Barthea00331	6.38641111186647	6.15116440079854	1.73022333135127	3.5551274158317	0.000377795962253046	0.0066114293394283
Barthea00347	362.605079922285	-4.09714483708958	1.1616093771156	-3.52712789497553	0.000420093788306926	0.00720944802973287
Barthea00369	97.0246342999959	3.25159909988094	0.70845024452234	4.58973530607399	4.4380843912581e-06	0.000162062179124822
Barthea00385	4307.11749631695	-1.0829122849181	0.350485607349393	-3.08974822991394	0.00200326229601372	0.0246508492994876
Barthea00388	34.7366639149899	2.64461396969654	0.59175021532676	4.46913900696462	7.85350819249585e-06	0.000267109063103885
Barthea00394	407.458631366767	-2.86091826634012	0.604416432173404	-4.73335619955371	2.2083743758079e-06	8.80824401076375e-05
Barthea00416	5440.40530010899	1.69835691548772	0.469707345128862	3.61577678761183	0.000299448323568579	0.00547726256847361
Barthea00441	113.734533409763	1.8102261922562	0.368452329182469	4.91305400693972	8.9668563935473e-07	4.02905863479875e-05
Barthea00454	107.88841319143	-2.03750160263161	0.471275954177346	-4.32337271734614	1.53661807027735e-05	0.000474737073330952
Barthea00463	1571.38462775821	-0.756135482593202	0.255603159443744	-2.95823996948528	0.00309401158487875	0.0341882534204158
