baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significance
Barthea00016	75.5574810185918	2.80424301607847	0.486145935335587	5.76831525731609	8.00679204213627e-09	2.7047099689824e-07	Gene
Barthea00029	19.8813676036685	-3.54483603928823	1.01202912431678	-3.5027016062224	0.000460565096668641	0.00351564430206683	Gene
Barthea00040	18.0860261589676	-3.02210251762153	1.20178010776068	-2.51468841771123	0.0119137623062331	0.0472781178185749	Gene
Barthea00070	12.5358680530069	2.36621327212885	0.809335265367174	2.92365027619965	0.00345953189526813	0.0179800625244724	Gene
Barthea00092	137.895847336208	2.12809260069199	0.440447525959289	4.83165978979455	1.35399483958963e-06	2.53614948551919e-05	Gene
Barthea00102	29.6449499874195	-2.06842467388378	0.701027560120957	-2.95056113560911	0.00317197263137893	0.0167622057995965	Gene
Barthea00124	25.0758214243319	-7.70638144345549	1.5487091162137	-4.97600315177078	6.49105906030984e-07	1.32616106364198e-05	Gene
Barthea00129	25.6257155492226	-7.74079555874913	1.67167650448886	-4.63055832750129	3.64681032217891e-06	5.96701388071927e-05	Gene
Barthea00200	4.09952037256999	-5.0967010292763	1.93977309492799	-2.62747279184502	0.00860217208061661	0.0367102331967466	Gene
Barthea00203	50.8690019613826	2.10733980680624	0.486147258573079	4.33477669501135	1.45908158909802e-05	0.000194958412093456	Gene
Barthea00206	4.0467107293864	-5.07214410939335	1.95634862701459	-2.59265860867216	0.00952372556052714	0.0396804882983837	Gene
Barthea00230	171.925466799427	2.90785505328038	0.394219652022731	7.37623058201247	1.62833903723038e-13	1.34536657811829e-11	Gene
Barthea00232	468.849832732849	2.46361859302234	0.307123998300848	8.02157632308846	1.04396682618736e-15	1.23707321622081e-13	Gene
Barthea00250	122.286935849717	2.28806212650284	0.434986943754887	5.26007081213029	1.43999936003601e-07	3.60231839905897e-06	Gene
Barthea00286	11.7286170545845	-3.09888779481042	1.19430691532274	-2.59471644604267	0.00946689847594515	0.0395257275357751	Gene
Barthea00290	18.5847315283085	-7.27953727362138	1.73555744155696	-4.19435110548167	2.73653832878851e-05	0.000330624052608043	Gene
Barthea00300	66.7343572201216	-3.95499873009066	0.589508259402272	-6.70897933491349	1.95990418725008e-11	1.15816962792236e-09	Gene
Barthea00359	229.007062407906	-3.23831283637786	0.444808734288261	-7.28023662026217	3.33235168563951e-13	2.61871665013371e-11	Gene
Barthea00366	11.577609480469	-5.09984782546425	1.72246434582059	-2.96078571253948	0.00306855357389065	0.0163345429576454	Gene
Barthea00367	26.1584540796393	-4.02270999026903	1.00139652479912	-4.01710001048383	5.89187236720193e-05	0.000634406086048335	Gene
