Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: bar.genome.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
-----	------	------	-----------	-------
DNA/DTA	TE_00000521	29383	29123	9.72
DNA/DTA	TE_00000539	4378	4010	8.05
DNA/DTA	TE_00000749	4092	3662	14.57
DNA/DTA	TE_00000814	3264	3166	8.67
DNA/DTA	TE_00000817	29541	29381	17.18
DNA/DTA	TE_00000854	6292	6111	10.24
DNA/DTA	TE_00000870	7696	7626	4.90
DNA/DTA	TE_00000876	2298	2295	10.43
DNA/DTA	TE_00000940	159	158	14.48
DNA/DTA	TE_00000956	43073	42830	9.44
DNA/DTA	TE_00001006	4542	4220	17.59
DNA/DTA	TE_00001016	11345	10735	25.01
DNA/DTA	TE_00001023	7777	7404	22.20
DNA/DTA	TE_00001069	7956	7416	18.51
DNA/DTC	TE_00000317	3323	3236	7.11
DNA/DTC	TE_00000318	6140	6058	9.29
DNA/DTC	TE_00000323	2008	2005	2.95
DNA/DTC	TE_00000325	29747	28269	20.31
DNA/DTC	TE_00000326	5848	5643	12.87
DNA/DTC	TE_00000342	3490	3325	5.89
DNA/DTC	TE_00000343	5552	5408	10.44
DNA/DTC	TE_00000345	5736	5503	10.49
DNA/DTC	TE_00000349	1415	1392	6.37
DNA/DTC	TE_00000361	3397	3349	4.09
DNA/DTC	TE_00000369	167922	155393	27.58
DNA/DTC	TE_00000370	2523	2467	5.02
DNA/DTC	TE_00000377	1444	1441	3.65
DNA/DTC	TE_00000388	3218	3155	4.78
DNA/DTC	TE_00000391	55911	46257	11.04
DNA/DTC	TE_00000395	2923	2913	3.95
DNA/DTC	TE_00000398	25553	25063	17.08
DNA/DTC	TE_00000401	2163	2059	4.87
DNA/DTC	TE_00000406	5612	5386	12.26
DNA/DTC	TE_00000408	8034	7717	22.96
DNA/DTC	TE_00000411	4151	4019	9.99
DNA/DTC	TE_00000413	406	406	0.25
DNA/DTC	TE_00000422	4258	4144	9.88
DNA/DTC	TE_00000423	53398	51684	23.78
DNA/DTC	TE_00000425	8400	8133	14.17
DNA/DTC	TE_00000446	3007	2922	3.29
DNA/DTC	TE_00000449	363	317	0.63
DNA/DTC	TE_00000451	2742	2718	6.73
DNA/DTC	TE_00000453	8084	7971	3.79
DNA/DTC	TE_00000455	65965	64347	20.94
DNA/DTC	TE_00000459	3510	3422	6.03
DNA/DTC	TE_00000462	3102	3044	9.17
DNA/DTC	TE_00000465	2445	2382	15.63
DNA/DTC	TE_00000466	4411	4262	3.00
DNA/DTC	TE_00000468	7970	7763	8.27
DNA/DTC	TE_00000475	4203	4031	3.21
DNA/DTC	TE_00000478	2762	2611	7.32
DNA/DTC	TE_00000488	2589	2561	0.62
DNA/DTC	TE_00000494	2358	2328	4.50
DNA/DTC	TE_00000498	876	809	2.30
DNA/DTC	TE_00000507	1384	1317	5.87
DNA/DTC	TE_00000525	24810	24088	32.52
DNA/DTC	TE_00000541	9059	8598	19.32
DNA/DTC	TE_00000561	27822	27436	13.24
DNA/DTC	TE_00000603	3772	3666	11.61
DNA/DTC	TE_00000606	8040	7907	14.88
DNA/DTC	TE_00000701	26638	25599	14.44
DNA/DTC	TE_00000711	5631	5399	17.36
DNA/DTC	TE_00000728	2479	2375	8.24
DNA/DTC	TE_00000737	1307	1253	3.27
DNA/DTC	TE_00000746	56686	46643	24.97
DNA/DTC	TE_00000770	121475	116977	31.00
DNA/DTC	TE_00000808	5895	5735	14.86
DNA/DTC	TE_00000823	32605	32069	10.76
DNA/DTC	TE_00000863	14347	13894	7.91
DNA/DTC	TE_00000873	16834	16221	23.18
DNA/DTC	TE_00000932	9817	9226	8.93
DNA/DTC	TE_00000944	4508	4426	5.35
DNA/DTC	TE_00000974	30017	29302	32.21
DNA/DTC	TE_00000987	2020	1906	6.13
DNA/DTC	TE_00000988	32966	31072	15.15
DNA/DTC	TE_00001018	4771	4672	6.88
DNA/DTH	TE_00000298	31366	31145	5.04
DNA/DTH	TE_00000320	1801	1741	5.30
DNA/DTH	TE_00000333	3042	2928	6.36
DNA/DTH	TE_00000350	2979	2933	8.92
DNA/DTH	TE_00000410	5693	5590	8.01
DNA/DTH	TE_00000424	4551	4410	4.58
DNA/DTH	TE_00000460	48982	47970	9.94
DNA/DTH	TE_00000464	24767	23883	20.84
DNA/DTH	TE_00000477	9658	9652	2.17
DNA/DTH	TE_00000489	4649	4452	4.01
DNA/DTH	TE_00000491	4984	4920	10.17
DNA/DTH	TE_00000499	4928	4767	13.75
DNA/DTH	TE_00000505	7417	7241	11.24
DNA/DTH	TE_00000513	10836	9185	11.39
DNA/DTH	TE_00000517	11804	9903	12.00
DNA/DTH	TE_00000616	5874	5618	15.01
DNA/DTH	TE_00000879	2292	2254	7.73
DNA/DTH	TE_00000888	3120	2551	1.09
DNA/DTH	TE_00001077	52908	47779	17.84
DNA/DTM	TE_00000153	10297	9887	16.62
DNA/DTM	TE_00000197	71426	69021	12.09
