			Million years bins:
Rname	Rclass	Rfam	[0;0.3[	[0.3;0.6[	[0.6;0.9[	[0.9;1.2[	[1.2;1.5[	[1.5;1.8[	[1.8;2.1[	[2.1;2.4[	[2.4;2.7[	[2.7;3[	[3;3.3[	[3.3;3.6[	[3.6;3.9[	[3.9;4.2[	[4.2;4.5[	[4.5;4.8[	[4.8;5.1[	[5.1;5.4[	[5.4;5.7[	[5.7;6[	[6;6.3[	[6.3;6.6[	[6.6;6.9[	[6.9;7.2[	[7.2;7.5[	[7.5;7.8[	[7.8;8.1[	[8.1;8.4[	[8.4;8.7[	[8.7;9[	[9;9.3[	[9.3;9.6[	[9.6;9.9[	[9.9;10.2[	[10.2;10.5[	[10.5;10.8[	[10.8;11.1[	[11.1;11.4[	[11.4;11.7[	[11.7;12[	[12;12.3[	[12.3;12.6[	[12.6;12.9[	[12.9;13.2[	[13.2;13.5[	[13.5;13.8[	[13.8;14.1[	[14.1;14.4[	[14.4;14.7[	[14.7;15[	[15;15.3[	[15.3;15.6[	[15.6;15.9[	[15.9;16.2[	[16.2;16.5[	[16.5;16.8[	[16.8;17.1[	[17.1;17.4[	[17.4;17.7[	[17.7;18[	[18;18.3[	[18.3;18.6[	[18.6;18.9[	[18.9;19.2[	[19.2;19.5[	[19.5;19.8[	[19.8;20.1[	[20.1;20.4[	[20.4;20.7[	[20.7;21[	[21;21.3[	[21.3;21.6[	[21.6;21.9[	[21.9;22.2[	[22.2;22.5[	[22.5;22.8[	[22.8;23.1[	[23.1;23.4[	[23.4;23.7[	[23.7;24[	[24;24.3[	[24.3;24.6[	[24.6;24.9[	[24.9;25.2[	[25.2;25.5[	[25.5;25.8[	[25.8;26.1[	[26.1;26.4[	[26.4;26.7[	[26.7;27[	[27;27.3[	[27.3;27.6[	[27.6;27.9[	[27.9;28.2[	[28.2;28.5[	[28.5;28.8[	[28.8;29.1[	[29.1;29.4[	[29.4;29.7[	[29.7;30[

TE_00000486	DNA	Helitron	2496	0	0	0	31	0	103	198	0	43	37	0	479	0	0	0	40	0	222	0	120	149	310	125	612	874	1455	948	673	400	223	341	379	122	132	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000436	DNA	DTM	1036	0	0	0	0	88	0	0	0	53	0	28	83	66	0	13	0	264	0	23	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000183	LINE	unknown	0	0	0	0	0	0	0	0	0	52	0	0	0	0	52	0	0	0	802	0	287	238	766	825	1321	1489	0	1509	1099	1049	3053	2564	2717	3852	4360	9243	7340	3070	3023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000625_INT	LTR	Gypsy	4252	0	0	0	0	0	0	222	5279	3789	8392	34613	65278	106572	61512	52419	8095	8740	3416	3729	1904	3476	8338	8786	11920	5512	9938	10518	15832	12578	14690	12035	11076	11193	15980	8259	7013	1850	15853	17355	12772	12143	7348	7709	1227	956	680	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000490	DNA	Helitron	4245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	146	0	0	0	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000542	MITE	DTM	276	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000640_INT	LTR	Copia	4651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2974	0	0	1179	0	6705	0	0	0	0	0	0	0	238	643	77	0	0	519	583	539	0	2948	2708	4588	1530	851	3254	1486	1442	2610	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001034	MITE	DTM	240	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000135	Unknown	Unknown	162	0	0	0	0	169	83	477	0	203	0	297	52	390	208	486	424	1420	361	530	621	143	581	528	242	111	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000112	LTR	unknown	0	0	0	0	0	0	0	236	363	846	604	967	599	479	1210	1668	604	708	845	228	611	483	1032	1287	1446	1211	784	466	1248	799	430	364	442	121	0	361	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001056_LTR	LTR	Gypsy	414	0	0	413	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000234	Unknown	Unknown	0	0	186	187	0	0	191	0	217	0	0	0	139	0	0	0	280	326	661	301	741	621	406	0	0	159	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000885	MITE	DTA	87	228	0	0	0	177	0	182	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000109	Unknown	Unknown	0	0	0	0	0	91	0	0	351	189	275	92	373	79	927	0	249	72	458	83	0	183	281	94	96	188	186	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000387	DNA	DTM	1454	190	0	0	0	44	37	0	45	0	65	276	482	0	174	337	1037	381	507	1061	1991	1452	1768	1557	1738	1586	1767	2087	628	1492	830	847	616	205	402	321	256	121	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000959	MITE	DTA	128	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000731_LTR	LTR	Copia	211	0	0	0	0	0	209	0	0	0	0	181	0	179	0	123	0	183	428	151	321	0	283	231	153	474	286	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000580_LTR	LTR	Copia	307	0	0	0	0	302	1591	3069	3057	2624	2345	2566	2346	1535	460	0	281	626	595	608	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000078	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	304	103	0	100	184	294	304	161	266	695	332	484	189	147	590	226	58	0	220	56	0	322	224	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000095	Unknown	Unknown	42	156	0	721	412	696	9	1038	501	21	348	111	25	0	0	0	0	68	0	220	72	0	0	95	167	97	28	222	196	356	422	365	724	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000128	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	73	211	0	715	575	1397	1923	1601	1139	2135	1301	840	352	477	228	123	71	327	0	0	0	279	505	497	573	0	360	279	205	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
