#Rname	Rclass	Rfam	Rlen	FRG_NB_all	FRG_NB_Reconstructed_repeats	LEN_MASKED_NR	AVG_%DIV	MED_%DIV	AVG_%DEL	MED_%DEL	AVG_%INS	MED_%INS	AVG_LEN_MASKED	%_GENOME

TE_00000797	DNA	DTM	nd	69	69	37677	6.34734218590774	nd	2.32732728189585	nd	2.18331608142828	nd	0.000818310343888423	nd
TE_00000392_INT	LTR	Gypsy	nd	10	10	2561	2.78253086234338	nd	0.836684888715348	nd	0.111807887543928	nd	5.56226024019495e-05	nd
TE_00000888	DNA	DTH	nd	54	54	4327	2.75516879699914	nd	6.23074185347812	nd	10.4878830598568	nd	9.39785242456991e-05	nd
TE_00000836_LTR	LTR	Copia	nd	7	7	1352	2.07843650432412	nd	0	nd	0.0750665680473375	nd	2.93642164964606e-05	nd
TE_00000323	DNA	DTC	nd	12	12	2008	1.17345617529884	nd	1.29396414342629	nd	0.20010956175299	nd	4.36119428438557e-05	nd
TE_00001028	MITE	DTM	nd	264	264	43567	8.19789616700086	nd	4.60671907636583	nd	4.8630617210269	nd	0.000946235813684394	nd
TE_00000155	Unknown	Unknown	nd	83	83	19138	6.83293407397335	nd	4.72822081722274	nd	4.47876841885209	nd	0.000415660040909219	nd
TE_00000989	DNA	DTM	nd	117	117	73920	8.99273049866531	nd	2.89041193181772	nd	3.61513555194848	nd	0.00160547550548696	nd
TE_00000812	MITE	DTA	nd	72	72	5726	5.6353938848438	nd	2.91016416346487	nd	4.77387355920348	nd	0.000124363538209122	nd
TE_00000605_LTR	LTR	Gypsy	nd	9	9	1836	5.57637631975875	nd	2.07059368191719	nd	7.21459150326793	nd	3.98762584966729e-05	nd
TE_00000156	Unknown	Unknown	nd	194	194	52417	7.86664639041119	nd	4.11073659308951	nd	4.87329568651358	nd	0.00113844980480398	nd
TE_00001009_INT	LTR	unknown	nd	230	230	24430	6.81681712270555	nd	2.63932460090039	nd	4.49430945558722	nd	0.000530597491870217	nd
TE_00000955	MITE	DTM	nd	35	35	2429	8.1279428064732	nd	7.53074927953889	nd	2.25890901605603	nd	5.2755681856437e-05	nd
TE_00000043	Unknown	Unknown	nd	110	110	20276	3.56933035646534	nd	2.13270763464199	nd	2.30621670941029	nd	0.000440376371066742	nd
TE_00000390_INT	LTR	Gypsy	nd	196	196	53728	8.60135604698393	nd	3.65268668105961	nd	3.27140113162575	nd	0.00116692353840373	nd
TE_00000024	Unknown	Unknown	nd	75	75	18406	1.68961835187508	nd	1.23800717157461	nd	1.27999511029014	nd	0.00039976166333865	nd
TE_00001022_INT	LTR	Copia	nd	150	150	38234	6.88324377014383	nd	3.37952398388913	nd	4.51331694303446	nd	0.000830407879826683	nd
TE_00000063	Unknown	Unknown	nd	155	155	12363	5.31112656251005	nd	0.404303162662776	nd	2.61817681792441	nd	0.000268513172001289	nd
TE_00000338	DNA	Helitron	nd	65	65	17642	2.6826269043279	nd	2.4891191474892	nd	3.30494275025499	nd	0.000383168274726744	nd
TE_00000885	MITE	DTA	nd	6	6	861	1.56962387206289	nd	3.94855981416959	nd	0.35528455284553	nd	1.87001408309561e-05	nd
TE_00000920	MITE	DTM	nd	2	2	252	2.77403846153846	nd	10.7125	nd	2.6875	nd	5.47321195052373e-06	nd
TE_00000668	DNA	DTM	nd	321	321	37773	7.89464859922405	nd	6.4634447886058	nd	4.45896116273568	nd	0.000820395377012432	nd
TE_00000478	DNA	DTC	nd	11	11	2788	2.89325957399849	nd	1.50642037302728	nd	5.53438307030121	nd	6.05528369764292e-05	nd
TE_00000699_INT	LTR	Copia	nd	126	126	14623	3.11417208927993	nd	4.54651097586031	nd	1.938820351501	nd	0.000317598326795669	nd
TE_00000777	MITE	DTM	nd	5	5	969	1.43831467809796	nd	2.99223942208463	nd	0	nd	2.10458030954662e-05	nd
TE_00000218	Unknown	Unknown	nd	198	198	19759	5.26705960672256	nd	2.83817956374327	nd	3.65056227541887	nd	0.000429147598930152	nd
TE_00000773_LTR	LTR	Gypsy	nd	398	398	149926	5.36566052072822	nd	1.51524278644194	nd	4.55197384042734	nd	0.00325625704323103	nd
TE_00000436	DNA	DTM	nd	12	12	1712	1.80080203091301	nd	2.44630841121497	nd	1.5083703271028	nd	3.71830907114945e-05	nd
TE_00000825	DNA	DTM	nd	185	185	34101	4.66739211347214	nd	2.08510512888187	nd	2.57442010498245	nd	0.000740642860019086	nd
TE_00000141	Unknown	Unknown	nd	85	85	5867	5.65175033761204	nd	3.62067496164988	nd	1.1855360490881	nd	0.000127425930610011	nd
TE_00000053	Unknown	Unknown	nd	49	49	14212	2.04073291259809	nd	1.49901913875625	nd	1.82277582324811	nd	0.000308671778733505	nd
TE_00000510	DNA	DTM	nd	52	52	8536	1.94058287073758	nd	0.775569353327051	nd	1.8627694470478	nd	0.00018539419527647	nd
TE_00000091	Unknown	Unknown	nd	77	77	19105	4.2068868399338	nd	2.91867835645115	nd	3.09355561371371	nd	0.000414943310772841	nd
TE_00000002	Unknown	Unknown	nd	155	155	42956	1.68432259843734	nd	0.927552844771527	nd	0.974444547909354	nd	0.000932965446613878	nd
TE_00001072	DNA	DTM	nd	3	3	1009	0.704147289776629	nd	0.69307234886026	nd	0.3909514370664	nd	2.19145668971367e-05	nd
TE_00000647_INT	LTR	Copia	nd	150	150	40354	5.6233217753635	nd	3.10771001635525	nd	2.05279575754514	nd	0.000876452361315216	nd
TE_00000940	DNA	DTA	nd	2	2	151	5.50496688741722	nd	0	nd	0.667549668874173	nd	3.27958335130588e-06	nd
TE_00000042	Unknown	Unknown	nd	126	126	28065	6.41012745138434	nd	1.46336112595767	nd	3.54440619989335	nd	0.000609546402347018	nd
TE_00000623_LTR	LTR	Gypsy	nd	182	182	42579	6.51431438755475	nd	5.55155499189818	nd	1.32070245895853	nd	0.000924777347783134	nd
TE_00000203	Unknown	Unknown	nd	40	40	4833	6.71380174760054	nd	5.07033105731418	nd	5.71703703703705	nd	0.00010496838633683	nd
TE_00000872	DNA	DTM	nd	214	214	48559	5.02106794747691	nd	4.37125167322235	nd	4.29206758788272	nd	0.00105465753613286	nd
TE_00000745	DNA	DTM	nd	131	131	32508	7.59915736717858	nd	4.34654700381482	nd	2.18766918912279	nd	0.000706044341617561	nd
