##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Photosynthesis - antenna proteins	KEGG PATHWAY	ath00196	20	40	3.25049683456e-08	2.13070067505e-05	Barthea28016|Barthea45262|Barthea35055|Barthea34245|Barthea18634|Barthea25283|Barthea37549|Barthea27612|Barthea39123|Barthea03304|Barthea32671|Barthea30728|Barthea43515|Barthea28765|Barthea06673|Barthea04370|Barthea07157|Barthea17653|Barthea21300|Barthea08824	http://www.genome.jp/kegg-bin/show_pathway?ath00196/ath:AT1G29930%09red/ath:AT4G10340%09red/ath:AT5G54270%09red/ath:AT1G19150%09red/ath:AT3G47470%09red/ath:AT2G05100%09red/ath:AT1G15820%09red/ath:AT2G34430%09red/ath:AT3G54890%09red/ath:AT3G61470%09red/ath:AT3G08940%09red/ath:AT1G45474%09red
Phenylpropanoid biosynthesis	KEGG PATHWAY	ath00940	51	236	1.49983356293e-07	4.91570450251e-05	Barthea37048|Barthea12498|Barthea20870|Barthea42095|Barthea32281|Barthea23461|Barthea44533|Barthea11856|Barthea18392|Barthea11894|Barthea44534|Barthea32680|Barthea06548|Barthea11855|Barthea31702|Barthea17086|Barthea19509|Barthea41845|Barthea32540|Barthea37849|Barthea23763|Barthea35574|Barthea24831|Barthea19325|Barthea34321|Barthea39644|Barthea25488|Barthea35996|Barthea17089|Barthea40958|Barthea38742|Barthea34198|Barthea38721|Barthea04568|Barthea07667|Barthea37158|Barthea33261|Barthea35288|Barthea40900|Barthea40899|Barthea06935|Barthea12492|Barthea35408|Barthea12497|Barthea12496|Barthea12566|Barthea17013|Barthea10859|Barthea15133|Barthea16762|Barthea14382	http://www.genome.jp/kegg-bin/show_pathway?ath00940/ath:AT5G54160%09red/ath:AT5G48930%09red/ath:AT2G18980%09red/ath:AT3G21240%09red/ath:AT5G24550%09red/ath:AT4G33420%09red/ath:AT5G66390%09red/ath:AT1G72680%09red/ath:AT1G67980%09red/ath:AT2G37130%09red/ath:AT3G10340%09red/ath:AT3G18080%09red/ath:AT4G17690%09red/ath:AT4G33870%09red/ath:AT2G24800%09red/ath:AT5G42180%09red/ath:AT4G36220%09red/ath:AT5G39580%09red/ath:AT3G19450%09red/ath:AT2G40890%09red/ath:AT1G61820%09red/ath:AT1G48130%09red/ath:AT5G64120%09red/ath:AT2G37040%09red/ath:AT4G26220%09red/ath:AT1G44970%09red/ath:AT2G44480%09red/ath:AT5G44640%09red/ath:AT4G19010%09red/ath:AT5G05340%09red
Cutin, suberine and wax biosynthesis	KEGG PATHWAY	ath00073	15	50	0.000209196961301	0.020315349353	Barthea37544|Barthea30733|Barthea22856|Barthea12043|Barthea12041|Barthea41314|Barthea24734|Barthea12039|Barthea39917|Barthea05641|Barthea29589|Barthea27689|Barthea05092|Barthea11730|Barthea11728	http://www.genome.jp/kegg-bin/show_pathway?ath00073/ath:AT3G11980%09red/ath:AT5G58860%09red/ath:AT5G41040%09red/ath:AT1G02205%09red/ath:AT5G23190%09red/ath:AT1G69500%09red
Flavonoid biosynthesis	KEGG PATHWAY	ath00941	17	71	0.000763317752122	0.0604783069539	Barthea43550|Barthea28534|Barthea04580|Barthea20870|Barthea39644|Barthea37048|Barthea28522|Barthea10333|Barthea37176|Barthea10859|Barthea20924|Barthea38721|Barthea04240|Barthea41347|Barthea35574|Barthea33261|Barthea43951	http://www.genome.jp/kegg-bin/show_pathway?ath00941/ath:AT5G48930%09red/ath:AT5G08640%09red/ath:AT4G22880%09red/ath:AT5G05270%09red/ath:AT3G51240%09red/ath:AT2G40890%09red/ath:AT3G55120%09red/ath:AT1G67980%09red/ath:AT5G13930%09red/ath:AT5G07990%09red/ath:AT4G26220%09red
Phenylalanine metabolism	KEGG PATHWAY	ath00360	15	58	0.000784234338838	0.0604783069539	Barthea34852|Barthea19509|Barthea07200|Barthea01283|Barthea17177|Barthea32281|Barthea07578|Barthea07639|Barthea13384|Barthea41179|Barthea12662|Barthea13666|Barthea35015|Barthea32680|Barthea36435	http://www.genome.jp/kegg-bin/show_pathway?ath00360/ath:AT1G31710%09red/ath:AT4G16210%09red/ath:AT2G37040%09red/ath:AT5G11520%09red/ath:AT4G31990%09red/ath:AT2G20340%09red/ath:AT2G22250%09red/ath:AT4G34880%09red/ath:AT2G30970%09red/ath:AT1G08980%09red/ath:AT5G10330%09red/ath:AT5G53970%09red/ath:AT3G10340%09red
Biosynthesis of secondary metabolites	KEGG PATHWAY	ath01110	209	1922	0.00456841675491	0.155563490018	Barthea35040|Barthea06548|Barthea22272|Barthea06540|Barthea40958|Barthea12566|Barthea37029|Barthea05450|Barthea23893|Barthea05746|Barthea28534|Barthea30734|Barthea36128|Barthea07639|Barthea08455|Barthea06538|Barthea01783|Barthea19325|Barthea37435|Barthea34749|Barthea22267|Barthea35996|Barthea24737|Barthea01283|Barthea11894|Barthea33973|Barthea29869|Barthea13384|Barthea13666|Barthea04568|Barthea12497|Barthea37158|Barthea35288|Barthea06935|Barthea12492|Barthea28892|Barthea12496|Barthea17086|Barthea12017|Barthea02870|Barthea14497|Barthea24961|Barthea15133|Barthea37811|Barthea44594|Barthea01581|Barthea06570|Barthea33904|Barthea23732|Barthea06569|Barthea20870|Barthea25813|Barthea20086|Barthea21293|Barthea30705|Barthea36786|Barthea04663|Barthea20263|Barthea29589|Barthea27592|Barthea09926|Barthea31702|Barthea09000|Barthea23763|Barthea18039|Barthea35574|Barthea17510|Barthea19898|Barthea02833|Barthea24831|Barthea35015|Barthea08773|Barthea30464|Barthea45778|Barthea28806|Barthea04076|Barthea36963|Barthea41353|Barthea27471|Barthea04778|Barthea25488|Barthea34852|Barthea16875|Barthea22136|Barthea26049|Barthea30463|Barthea20869|Barthea37176|Barthea10423|Barthea05715|Barthea07667|Barthea29274|Barthea26692|Barthea05445|Barthea31195|Barthea17177|Barthea26842|Barthea21020|Barthea43633|Barthea27217|Barthea02972|Barthea27052|Barthea16762|Barthea09553|Barthea00535|Barthea14382|Barthea37466|Barthea41347|Barthea16143|Barthea07578|Barthea12001|Barthea18392|Barthea25959|Barthea39243|Barthea11856|Barthea11855|Barthea14201|Barthea27679|Barthea12498|Barthea41845|Barthea32540|Barthea23916|Barthea05619|Barthea28984|Barthea21220|Barthea30809|Barthea43981|Barthea02270|Barthea43550|Barthea18787|Barthea34321|Barthea39644|Barthea07200|Barthea03780|Barthea17089|Barthea10333|Barthea35037|Barthea07684|Barthea41991|Barthea38721|Barthea02956|Barthea40900|Barthea35408|Barthea29035|Barthea33240|Barthea12059|Barthea17013|Barthea39835|Barthea14596|Barthea23686|Barthea36435|Barthea26475|Barthea08643|Barthea33792|Barthea39006|Barthea42627|Barthea43632|Barthea37048|Barthea26790|Barthea42095|Barthea34284|Barthea44534|Barthea32281|Barthea23461|Barthea44533|Barthea02764|Barthea44530|Barthea32569|Barthea04240|Barthea32680|Barthea24376|Barthea02766|Barthea04242|Barthea31546|Barthea43951|Barthea12060|Barthea31703|Barthea19509|Barthea31813|Barthea26469|Barthea37849|Barthea20924|Barthea19615|Barthea19616|Barthea13916|Barthea12905|Barthea02875|Barthea00472|Barthea00542|Barthea04580|Barthea29955|Barthea41796|Barthea07344|Barthea23221|Barthea38742|Barthea34198|Barthea32457|Barthea01494|Barthea33261|Barthea40899|Barthea44852|Barthea28522|Barthea09950|Barthea01313|Barthea33474|Barthea11654|Barthea10859|Barthea27621|Barthea21525	http://www.genome.jp/kegg-bin/show_pathway?ath01110/ath:AT5G10300%09red/ath:AT5G23960%09red/ath:AT1G10070%09red/ath:AT1G24180%09red/ath:AT4G08900%09red/ath:AT4G22920%09red/ath:AT2G22250%09red/ath:AT4G24620%09red/ath:AT4G19860%09red/ath:AT3G30180%09red/ath:AT1G72680%09red/ath:AT1G74910%09red/ath:AT5G47720%09red/ath:AT4G37770%09red/ath:AT3G10340%09red/ath:AT4G26910%09red/ath:AT4G17690%09red/ath:AT1G13700%09red/ath:AT4G31500%09red/ath:AT4G15560%09red/ath:AT4G37000%09red/ath:AT4G13010%09red/ath:AT1G22170%09red/ath:AT5G19040%09red/ath:AT1G32100%09red/ath:AT5G39580%09red/ath:AT4G33070%09red/ath:AT1G31710%09red/ath:AT3G16150%09red/ath:AT1G09780%09red/ath:AT5G54500%09red/ath:AT1G78440%09red/ath:AT4G12110%09red/ath:AT4G26200%09red/ath:AT2G37040%09red/ath:AT4G02780%09red/ath:AT2G02010%09red/ath:AT1G44970%09red/ath:AT4G22880%09red/ath:AT4G31990%09red/ath:AT3G51240%09red/ath:AT1G32440%09red/ath:AT3G04520%09red/ath:AT5G17230%09red/ath:AT5G54160%09red/ath:AT5G10240%09red/ath:AT5G13110%09red/ath:AT1G52340%09red/ath:AT2G21330%09red/ath:AT5G17330%09red/ath:AT3G21240%09red/ath:AT2G19590%09red/ath:AT4G25700%09red/ath:AT2G26640%09red/ath:AT4G39210%09red/ath:AT1G67090%09red/ath:AT3G45140%09red/ath:AT3G18080%09red/ath:AT5G54190%09red/ath:AT2G20340%09red/ath:AT1G77120%09red/ath:AT4G38460%09red/ath:AT1G32470%09red/ath:AT5G50375%09red/ath:AT1G48320%09red/ath:AT5G24400%09red/ath:AT3G48610%09red/ath:AT1G74030%09red/ath:AT4G37990%09red/ath:AT1G61820%09red/ath:AT1G15710%09red/ath:AT1G02205%09red/ath:AT5G64120%09red/ath:AT4G16210%09red/ath:AT5G46180%09red/ath:AT2G34500%09red/ath:AT2G44480%09red/ath:AT2G45440%09red/ath:AT5G59750%09red/ath:AT2G30970%09red/ath:AT5G45930%09red/ath:AT5G13930%09red/ath:AT2G27150%09red/ath:AT5G18660%09red/ath:AT1G06820%09red/ath:AT5G11520%09red/ath:AT2G18980%09red/ath:AT5G24550%09red/ath:AT4G21200%09red/ath:AT5G20980%09red/ath:AT5G66390%09red/ath:AT5G38710%09red/ath:AT1G05010%09red/ath:AT1G76690%09red/ath:AT3G19450%09red/ath:AT2G06050%09red/ath:AT5G50950%09red/ath:AT4G16700%09red/ath:AT1G61680%09red/ath:AT5G34930%09red/ath:AT2G24800%09red/ath:AT5G42180%09red/ath:AT4G36220%09red/ath:AT5G10330%09red/ath:AT5G07990%09red/ath:AT2G36880%09red/ath:AT1G74010%09red/ath:AT1G03055%09red/ath:AT5G05270%09red/ath:AT3G14420%09red/ath:AT1G48130%09red/ath:AT1G14810%09red/ath:AT1G17050%09red/ath:AT4G33420%09red/ath:AT3G46970%09red/ath:AT5G60340%09red/ath:AT4G32520%09red/ath:AT4G19010%09red/ath:AT3G20440%09red/ath:AT1G78950%09red/ath:AT1G15550%09red/ath:AT1G67070%09red/ath:AT2G17370%09red/ath:AT1G67980%09red/ath:AT2G27760%09red/ath:AT5G48930%09red/ath:AT1G30040%09red/ath:AT2G21940%09red/ath:AT1G12550%09red/ath:AT2G40890%09red/ath:AT1G02500%09red/ath:AT1G80860%09red/ath:AT2G37130%09red/ath:AT2G07050%09red/ath:AT5G04040%09red/ath:AT5G53970%09red/ath:AT4G13770%09red/ath:AT5G44640%09red/ath:AT1G07780%09red/ath:AT4G33870%09red/ath:AT3G61220%09red/ath:AT3G55440%09red/ath:AT2G38110%09red/ath:AT1G08630%09red/ath:AT1G07420%09red/ath:AT2G18950%09red/ath:AT5G17050%09red/ath:AT1G68890%09red/ath:AT5G42650%09red/ath:AT2G20610%09red/ath:AT2G13810%09red/ath:AT4G37760%09red/ath:AT4G34240%09red/ath:AT4G26220%09red/ath:AT5G43860%09red/ath:AT1G31910%09red/ath:AT5G08640%09red/ath:AT3G55120%09red/ath:AT1G65930%09red/ath:AT5G05340%09red
Glucosinolate biosynthesis	KEGG PATHWAY	ath00966	6	15	0.00572344052303	0.163118054906	Barthea37466|Barthea24737|Barthea04663|Barthea30809|Barthea20263|Barthea28806	http://www.genome.jp/kegg-bin/show_pathway?ath00966/ath:AT1G10070%09red/ath:AT4G13770%09red/ath:AT2G20610%09red/ath:AT4G31500%09red
Monoterpenoid biosynthesis	KEGG PATHWAY	ath00902	7	25	0.0137649546516	0.259652597817	Barthea26469|Barthea30464|Barthea26790|Barthea30463|Barthea26475|Barthea08773|Barthea09553	http://www.genome.jp/kegg-bin/show_pathway?ath00902/ath:AT3G61220%09red/ath:AT1G61680%09red/ath:AT4G37990%09red
Tyrosine metabolism	KEGG PATHWAY	ath00350	12	62	0.0174207461591	0.306558365297	Barthea34852|Barthea45919|Barthea07200|Barthea01283|Barthea17177|Barthea07578|Barthea07639|Barthea13384|Barthea13916|Barthea35015|Barthea41045|Barthea36435	http://www.genome.jp/kegg-bin/show_pathway?ath00350/ath:AT1G31710%09red/ath:AT4G15940%09red/ath:AT5G11520%09red/ath:AT4G31990%09red/ath:AT2G20340%09red/ath:AT1G77120%09red/ath:AT2G22250%09red/ath:AT2G02390%09red/ath:AT2G30970%09red/ath:AT5G10330%09red/ath:AT5G53970%09red
Plant hormone signal transduction	KEGG PATHWAY	ath04075	61	510	0.022615895117	0.360569064853	Barthea16510|Barthea23480|Barthea03548|Barthea12653|Barthea04995|Barthea04994|Barthea36480|Barthea28459|Barthea20265|Barthea20267|Barthea24011|Barthea18296|Barthea30743|Barthea23883|Barthea09729|Barthea15339|Barthea41561|Barthea36280|Barthea05058|Barthea15784|Barthea39605|Barthea30684|Barthea00646|Barthea15625|Barthea11676|Barthea45976|Barthea30964|Barthea24505|Barthea20796|Barthea29717|Barthea17441|Barthea01414|Barthea18185|Barthea03101|Barthea37311|Barthea40080|Barthea29525|Barthea22605|Barthea12949|Barthea38673|Barthea37350|Barthea10066|Barthea03646|Barthea07382|Barthea23884|Barthea40297|Barthea12485|Barthea19495|Barthea08111|Barthea34419|Barthea28408|Barthea42417|Barthea45804|Barthea36591|Barthea34392|Barthea03675|Barthea06318|Barthea21318|Barthea23740|Barthea41057|Barthea34510	http://www.genome.jp/kegg-bin/show_pathway?ath04075/ath:AT2G14960%09red/ath:AT4G34760%09red/ath:AT5G54510%09red/ath:AT2G46690%09red/ath:AT3G23150%09red/ath:AT1G04240%09red/ath:AT2G45210%09red/ath:AT5G42750%09red/ath:AT1G66350%09red/ath:AT5G45110%09red/ath:AT1G14920%09red/ath:AT4G14550%09red/ath:AT1G09530%09red/ath:AT5G10030%09red/ath:AT3G15540%09red/ath:AT1G51950%09red/ath:AT1G75580%09red/ath:AT3G56380%09red/ath:AT5G45860%09red/ath:AT4G32280%09red/ath:AT4G34810%09red/ath:AT3G16500%09red/ath:AT3G23240%09red/ath:AT2G41070%09red/ath:AT1G19180%09red/ath:AT3G56850%09red/ath:AT2G36210%09red/ath:AT5G05440%09red/ath:AT2G14610%09red/ath:AT3G21510%09red/ath:AT4G34770%09red/ath:AT1G66340%09red/ath:AT4G34750%09red/ath:AT4G33430%09red/ath:AT3G48100%09red/ath:AT4G16110%09red/ath:AT5G13220%09red/ath:AT4G19660%09red/ath:AT3G63010%09red/ath:AT3G57040%09red/ath:AT2G41310%09red/ath:AT2G29380%09red/ath:AT5G07210%09red/ath:AT5G10990%09red/ath:AT4G24210%09red/ath:AT3G16360%09red
